Name	Position	Period	Appearances¹	Goals¹	Nationality²
Grégory Paisley	Defender	1998 – 1999, 2000 – 2001	23	1	France
Fabrice Pancrate	Midfielder	2004 – 2009	131	14	France
Ilija Pantelić	Goalkeeper	1974 – 1977	114	0	Yugoslavia
Marko Pantelić	Forward	1997 – 1998	4	0	Serbia
Cédric Pardeilhan	Midfielder	1995 – 1996	2	0	France
Bernard Pardo	Midfielder	1991 – 1992	6	0	France
Maxime Partouche	Midfielder	2007 – 2010	3	0	France
Javier Pastore	Midfielder	2011 –	91	25	Argentina
Pauleta *	Forward	2003 – 2008 †	211	110	Portugal
Paulo César	Defender	2002 – 2003, 2006 – 2007	67	6	Brazil
Stéphane Pédron	Midfielder	2003	17	2	France
Christian Perez	Forward	1988 – 1992	139	26	France
Stéphane Persol	Midfielder	1987 – 1988, 1990 – 1991	2	0	France
Pierre Phelipon	Defender	1970 – 1971	3	0	France
Francis Piasecki	Midfielder	1975 – 1977	79	18	France
Stéphane Pichot	Defender	2004 – 2006	59	0	France
José-Karl Pierre-Fanfan	Defender	2003 – 2005	67	2	France
Samuel Piètre	Forward	2006 – 2007	2	0	France
Jean-Marc Pilorget *	Defender	1975 – 1987, 1988 – 1989	435	17	France
Laurent Pimond	Forward	1984 – 1986	2	1	France
Jacky Planchard	Goalkeeper	1973 – 1975	23	0	France
Mauricio Pochettino	Defender	2000 – 2003	95	6	Argentina
Alain Polaniok	Midfielder	1986 – 1987, 1988 – 1989	54	2	France
Albert Poli	Midfielder	1974 – 1975	37	2	Italy
Hervé Porquet	Forward	1977 – 1979	10	2	France
Lionel Potillon	Defender	2001 – 2004	77	2	France
Cyrille Pouget	Forward	1996 – 1997	22	4	France
Fabrice Poullain	Midfielder	1985 – 1988	113	4	France
Alain Préfaci	Midfielder	1981 – 1982, 1983 – 1984	5	0	France
Michel Prost	Forward	1970 – 1972	74	22	France
