Nation	Gold	Silver	Bronze	Total
Jamaica	726	506	327	1,559
Trinidad and Tobago	157	197	206	560
Bahamas	129	208	238	575
Barbados	121	155	183	459
Martinique	69	85	109	263
Grenada	53	57	68	178
Guadeloupe	45	58	75	178
Antigua and Barbuda	28	12	20	60
Bermuda	22	35	40	97
Guyana	16	16	15	47
Cayman Islands	10	13	23	46
Saint Lucia	10	22	18	50
Dominica	7	11	10	28
British Virgin Islands	7	6	9	22
French Guiana	6	6	10	22
Turks and Caicos Islands	5	4	6	15
Saint Kitts and Nevis	4	11	10	25
U.S. Virgin Islands	3	4	9	17
Anguilla	2	1	5	8
Netherlands Antilles	0	5	6	11
Saint Vincent and the Grenadines	0	4	0	4
Aruba	0	2	2	4
Suriname	0	2	1	3
Curaçao	0	1	3	4
Belize	0	1	1	2
Haiti	0	0	1	1
Total	1,420	1,422	1,395	4,237
