Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	Total Apps	Total Goals
Mike Barry	MF	17	0	2	0	0	0	19	0
Les Chapman	MF	22	2	0	0	1	0	23	2
Dennis Clarke	DF	31	0	2	0	0	0	33	0
Terry Dolan	MF	21 (2)	0	2	0	1	0	24 (2)	0
John Dungworth	FW	13 (3)	1	0	0	0	0	13 (3)	1
Mick Fairclough	FW	14 (6)	1	2	2	1	0	17 (6)	3
Paul Garner	DF	2	0	0	0	0	0	2	0
Alan Gowling	FW	42	17	2	0	1	0	45	17
Bobby Hoy	MF	19	1	2	0	0	0	21	1
Geoff Hutt	DF	35	1	2	0	1	0	38	1
Alan Jones	DF	8	0	0	0	0	0	8	0
Dick Krzywicki	MF	8 (1)	2	0	0	0	0	8 (1)	2
Jimmy Lawson	MF	22	1	2	0	1	0	25	1
Dave Lyon	DF	20	0	1	0	1	0	22	0
Brian Marshall	DF	3	0	0	0	0	0	3	0
Grahame McGifford	DF	0 (1)	0	0	0	0	0	0 (1)	0
Jimmy Nicholson	MF	26	0	0	0	1	0	27	0
Gary Pierce	GK	13	0	0	0	1	0	14	0
Terry Poole	GK	22	0	2	0	0	0	24	0
Graham Pugh	MF	37	1	0	0	1	1	38	2
John Saunders	DF	20	1	1	0	0	0	21	1
Dave Smith	MF	18 (4)	4	2	0	1	0	21 (4)	4
Paul Smith	MF	0 (1)	0	0	0	0	0	0 (1)	0
Steve Smith	MF	29 (1)	1	0	0	0	0	29 (1)	1
Phil Summerill	FW	13 (3)	3	0	0	0	0	13 (3)	3
Chris Wood	GK	7	0	0	0	0	0	7	0
