Pos.	Mark	Athlete	Nationality	Venue	Date
1.	2.45m(8ft0¼in)	Javier Sotomayor	Cuba	Salamanca	27 July 1993
2.	2.42m(7ft11¼in)	Patrik Sjöberg	Sweden	Stockholm	30 June 1987
3.	2.41m(7ft10¾in)	Igor Paklin	Soviet Union	Kobe	4 September 1985
3.	2.41m(7ft10¾in)	Bohdan Bondarenko	Ukraine	Lausanne	4 July 2013
5.	2.40m(7ft10¼in)	Rudolf Povarnitsyn	Soviet Union	Donetsk	11 August 1985
5.	2.40m(7ft10¼in)	Sorin Matei	Romania	Bratislava	20 June 1990
5.	2.40m(7ft10¼in)	Charles Austin	USA	Zürich	7 August 1991
5.	2.40m(7ft10¼in)	Vyacheslav Voronin	Russia	London	5 August 2000
5.	2.40m(7ft10¼in)	Mutaz Essa Barshim	Qatar	Eugene	1 June 2013
10.	2.39m(7ft10in)	Zhu Jianhua	China	Eberstadt	10 June 1984
10.	2.39m(7ft10in)	Hollis Conway	USA	Norman	30 July 1989
10.	2.39m(7ft10in)	Ivan Ukhov	Russia	Cheboksary	5 July 2012
