Townland	Area( acres )	Barony	Civil parish	Poor law union
Adrigole	293	Bear	Kilcaskan	Castletown
Aghabeg	267	Bear	Killaconenagh	Castletown
Allihies	834	Bear	Kilnamanagh	Castletown
Ardacluggin	232	Bear	Kilcatherine	Castletown
Ardagannive	86	Bear	Killaconenagh	Castletown
Ardagh	538	Bear	Killaconenagh	Castletown
Ardaragh East	197	Bear	Killaconenagh	Castletown
Ardaragh West	84	Bear	Killaconenagh	Castletown
Ardgroom Inward	1456	Bear	Kilcatherine	Castletown
Ardgroom Outward	2243	Bear	Kilcatherine	Castletown
Aughabrack	169	Bear	Kilcatherine	Castletown
Ballaghboy	229	Bear	Kilnamanagh	Castletown
Ballard	193	Bear	Killaconenagh	Castletown
Ballard Commons	668	Bear	Killaconenagh	Castletown
Ballycrovane	550	Bear	Kilcatherine	Castletown
Ballycrovane Island	4	Bear	Kilcatherine	Castletown
Ballycrovane Little	1	Bear	Kilcatherine	Castletown
Ballydonegan	535	Bear	Kilnamanagh	Castletown
Ballynacallagh	412	Bear	Kilnamanagh	Castletown
Ballynacarriga	464	Bear	Kilnamanagh	Castletown
Ballynahown	135	Bear	Kilcaskan	Castletown
Ballynakilla	1010	Bear	Killaconenagh	Castletown
Ballynakilla	32	Bear	Kilcaskan	Castletown
Bank	95	Bear	Killaconenagh	Castletown
Barrees	1098	Bear	Kilcatherine	Castletown
Bawn	205	Bear	Kilcaskan	Castletown
Bawnard	156	Bear	Kilcatherine	Castletown
Billeragh	211	Bear	Kilnamanagh	Castletown
Bocarnagh	335	Bear	Kilcaskan	Bantry
Bofickil	420	Bear	Kilcatherine	Castletown
Boher	36	Bear	Killaconenagh	Castletown
Bohernoe	27	Bear	Killaconenagh	Castletown
Brackcloon	198	Bear	Kilnamanagh	Castletown
Bunskellig	512	Bear	Kilcatherine	Castletown
Caheravart	52	Bear	Kilcatherine	Castletown
Cahergarriff	341	Bear	Killaconenagh	Castletown
Caherkeen	1044	Bear	Kilcatherine	Castletown
Cahermeeleboe	530	Bear	Kilnamanagh	Castletown
Cametringane	41	Bear	Killaconenagh	Castletown
Caminches	249	Bear	Kilnamanagh	Castletown
Canalmore	265	Bear	Kilnamanagh	Castletown
Canalough	441	Bear	Kilnamanagh	Castletown
Canrooska	590	Bear	Kilcaskan	Bantry
Canshanavoe	1365	Bear	Kilcaskan	Castletown
Cappaghavuckee	89	Bear	Killaconenagh	Castletown
Cappaleigh North	123	Bear	Kilcaskan	Castletown
Cappaleigh South	115	Bear	Kilcaskan	Castletown
Cappanaparka East	171	Bear	Kilcaskan	Castletown
Cappanaparka West	273	Bear	Kilcaskan	Castletown
Cappyaughna	136	Bear	Kilcaskan	Bantry
Carrig	42	Bear	Killaconenagh	Castletown
Carrig	47	Bear	Kilcatherine	Castletown
Carrigboy	1	Bear	Kilcaskan	Castletown
Carrigrour	241	Bear	Kilcaskan	Bantry
Clashduff	1066	Bear	Kilcaskan	Castletown
Cloan	449	Bear	Kilnamanagh	Castletown
Clogfune	732	Bear	Kilnamanagh	Castletown
Cloghane Lower	84	Bear	Kilnamanagh	Castletown
Cloghane Upper	238	Bear	Kilnamanagh	Castletown
Clogher	961	Bear	Kilcatherine	Castletown
Clonglaskan	600	Bear	Killaconenagh	Castletown
Cloonaghlin	78	Bear	Killaconenagh	Castletown
Cloonaghlin Upper	101	Bear	Killaconenagh	Castletown
Cloonaghlin West	175	Bear	Killaconenagh	Castletown
Cloontree	543	Bear	Kilcatherine	Castletown
Clydagh	86	Bear	Kilcaskan	Castletown
Commons East	881	Bear	Kilcatherine	Castletown
Commons West	581	Bear	Kilcatherine	Castletown
Coolieragh	533	Bear	Kilcaskan	Bantry
Coom	684	Bear	Kilnamanagh	Castletown
Coomarkane	2034	Bear	Kilcaskan	Bantry
Coomgira	953	Bear	Kilcaskan	Castletown
Coonane	715	Bear	Kilcaskan	Bantry
Coorannel	543	Bear	Kilcaskan	Bantry
Coulagh	362	Bear	Kilcatherine	Castletown
Crooha East	293	Bear	Kilcaskan	Castletown
Crooha Middle	183	Bear	Kilcaskan	Castletown
Crooha West	205	Bear	Kilcaskan	Castletown
Crossterry East	347	Bear	Kilcaskan	Bantry
Crossterry West	1050	Bear	Kilcaskan	Bantry
Crow Island	6	Bear	Kilnamanagh	Castletown
Crumpane	1088	Bear	Kilcatherine	Castletown
Curradonohoe	181	Bear	Killaconenagh	Castletown
Curraduff	122	Bear	Killaconenagh	Castletown
Curraduff	218	Bear	Kilcaskan	Castletown
Curragh	27	Bear	Killaconenagh	Castletown
Curragh East	369	Bear	Kilcaskan	Castletown
Curragh West	22	Bear	Kilcaskan	Castletown
Currakeal	124	Bear	Kilcaskan	Bantry
Currakillane	381	Bear	Kilcaskan	Bantry
Curryglass	145	Bear	Killaconenagh	Castletown
Derreen Lower	560	Bear	Kilcaskan	Castletown
Derreen Upper	588	Bear	Kilcaskan	Castletown
Derreenacarrin	940	Bear	Kilcaskan	Castletown
Derreenagarig	144	Bear	Kilcaskan	Bantry
Derreenataggart Commons	318	Bear	Killaconenagh	Castletown
Derreenataggart East	175	Bear	Killaconenagh	Castletown
Derreenataggart Middle	103	Bear	Killaconenagh	Castletown
Derreenataggart West	146	Bear	Killaconenagh	Castletown
Derreenavroonig	150	Bear	Kilcaskan	Bantry
Derreenboy Lower	374	Bear	Kilcaskan	Bantry
Derreenboy Upper	432	Bear	Kilcaskan	Bantry
Derreennagough	368	Bear	Kilcaskan	Bantry
Derreeny	406	Bear	Kilcaskan	Castletown
Derryconnery	528	Bear	Kilcaskan	Bantry
Derrycreeveen	1085	Bear	Killaconenagh	Castletown
Derrylough	295	Bear	Kilcaskan	Castletown
Derrymihin East	521	Bear	Killaconenagh	Castletown
Derrymihin West	606	Bear	Killaconenagh	Castletown
Derrynafulla	768	Bear	Kilcaskan	Bantry
Dinish Island	45	Bear	Killaconenagh	Castletown
Disert	352	Bear	Killaconenagh	Castletown
Doorus	184	Bear	Kilcaskan	Bantry
Drom North	170	Bear	Killaconenagh	Castletown
Drom South	117	Bear	Killaconenagh	Castletown
Drom West	118	Bear	Killaconenagh	Castletown
Dromagowlane	240	Bear	Kilcaskan	Castletown
Dromateebara	171	Bear	Kilcaskan	Castletown
Dromderaown	86	Bear	Kilcaskan	Bantry
