Episode No.	Airdate	Time	Ratings (5 capital cities)	Timeslot rank	Overall nightly rank
Fat Chance	9 July 2008	21:30	1,185,000	1st	13th
The Ambassador	16 July 2008	21:30	1,040,000	2nd	16th
A Time for Talk	23 July 2008	21:30	950,000	3rd	18th
Rear Vision	30 July 2008	21:30	996,000	2nd	16th
Military Matters	6 August 2008	21:30	816,000	3rd	24th
A Housing Crisis	27 August 2008	21:00	926,000	2nd	15th
Shared Interests	3 September 2008	21:00	931,000	2nd	17th
Edifice Complex	10 September 2008	21:00	1,044,000	2nd	16th
Wonder Drug	17 September 2008	21:00	941,000	3rd	19th
Vulnerable to Attack	24 September 2008	21:00	906,000	3rd	15th
A Waste of Energy	1 October 2008	21:00	877,000	3rd	16th
A Quiet January	8 October 2008	21:00	931,000	3rd	16th
