Round	Pick	Player	Position	School/Club Team
2	38	Cotton Speyrer	Wide Receiver	Texas
6	141	Conway Hayman	Guard	Delaware
7	166	Willie Germany	Defensive Back	Morgan State
9	219	Mike Fanucci	Defensive End	Arizona State
10	244	Jesse Taylor	Running Back	Cincinnati
11	272	George Starke	Tackle	Columbia
12	297	Jeff Severson	Defensive Back	Cal-Long Beach
13	322	Dan Ryczek	Center	Virginia
14	349	Bill Bynum	Quarterback	West New Mexico
15	375	Anthony Christnovich	Guard	La Crosse (Wis.)
16	400	Glenn Tucker	Linebacker	North Texas
