Game	Date	Opponent	Score	Record
1	10/09/1973	Capital Bullets	128-114	1-0
2	10/11/1973	Los Angeles Lakers	129 - 102	2 - 0
3	10/12/1973	at Detroit Pistons	105 - 122	2 - 1
4	10/13/1973	Kansas City Kings	102 - 117	2 - 2
5	10/20/1973	at Phoenix Suns	108 - 118	2 - 3
6	10/21/1973	at Los Angeles Lakers	119 - 100	3 - 3
7	10/24/1973	at Seattle SuperSonics	131 - 106	4 - 3
8	10/26/1973	at Portland Trail Blazers	110 - 127	4 - 4
9	10/27/1973	at Golden State Warriors	125 - 116	5 - 4
10	10/30/1973	Phoenix Suns	122 - 101	6 - 4
