Week	Date	Opponent	Result	Attendance
1	September 6, 1981	at Atlanta Falcons	L 27-0	57,406
2	September 13, 1981	Los Angeles Rams	W 23-17	62,063
3	September 20, 1981	at New York Giants	L 20-7	69,814
4	September 27, 1981	at San Francisco 49ers	L 21-14	44,433
5	October 4, 1981	Pittsburgh Steelers	L 20-6	64,578
6	October 11, 1981	Philadelphia Eagles	L 31-14	52,728
7	October 18, 1981	at Cleveland Browns	L 20-17	76,059
8	October 25, 1981	Cincinnati Bengals	W 17-7	46,336
9	November 1, 1981	Atlanta Falcons	L 41-10	63,637
10	November 8, 1981	at Los Angeles Rams	W 21-13	61,068
11	November 15, 1981	at Minnesota Vikings	L 20-10	45,215
12	November 22, 1981	at Houston Oilers	W 27-24	49,581
13	November 29, 1981	Tampa Bay Buccaneers	L 31-14	62,209
14	December 6, 1981	at St. Louis Cardinals	L 30-3	46,923
15	December 13, 1981	Green Bay Packers	L 35-7	45,518
16	December 20, 1981	San Francisco 49ers	L 21-17	43,639
