Surname	First	D.O.B.	Bats	Throws	Position
Paewai	Riki	28 March 1986	R	R	P
Naylor	Drew	31 May 1986	R	R	P
Mowday	Chris	24 August 1981	R	R	P
Veitch	John	23 January 1978	R	R	P
Searle	Ryan	22 June 1989	R	R	P
Holland	David	9 March 1985	L	L	P
Morriss	Simon	21 August 1985	R	R	P
Luchterhand	Aaron	26 April 1989	R	R	P
Bevis	PJ	28 July 1980	R	R	P
Timms	Matt	18 January 1987	R	R	P
Crawford	Tristan	22 July 1982	R	R	P
Stockman	Phil	25 January 1980	R	R	P
Naughton	Joel	27 August 1986	L	R	C
Utting	Andrew	9 September 1977	S	R	C
Nilsson	Jay	1 November 1987	R	R	C/IF
Nilsson	David	14 December 1969	L	R	C/IF
Sutherland	David	2 May 1985	L	L	IF
Lamb-Hunt	Daniel	20 May 1987	R	R	IF
Dutton	Brad	11 May 1982	R	R	IF
Roneberg	Brett	5 February 1979	L	L	IF/OF
Bylett	David	22 March 1984	L	L	OF
Roberts	Josh	17 July 1986	L	R	OF
