Name	Height	Weight	Spike	2008 club
Maria Borodakova Category:Articles with hCards	m ()	kg (lb)	cm (in)	Dynamo Moscow
Natalia Alimova Category:Articles with hCards	m ()	kg (lb)	cm (in)	Leningradka
Olga Fateyeva Category:Articles with hCards	m ()	kg (lb)	cm (in)	Zarechie Odintsovo
Lioubov Sokolova Category:Articles with hCards	m ()	kg (lb)	cm (in)	Zarechie Odintsovo
Yelena Godina Category:Articles with hCards	m ()	kg (lb)	cm (in)	Dynamo Moscow
Yevgeniya Estes Category:Articles with hCards	m ()	kg (lb)	cm (in)	Uralochka
Yekaterina Gamova Category:Articles with hCards	m ()	kg (lb)	cm (in)	Dynamo Moscow
Marina Sheshenina Category:Articles with hCards	m ()	kg (lb)	cm (in)	Uralochka
Yekaterina Kabeshova Category:Articles with hCards	m ()	kg (lb)	cm (in)	Leningradka
Aleksandra Pasynkova Category:Articles with hCards	m ()	kg (lb)	cm (in)	Uralochka
Yulia Merkulova Category:Articles with hCards	m ()	kg (lb)	cm (in)	Zarechie Odintsovo
Marina Akulova Category:Articles with hCards	m ()	kg (lb)	cm (in)	Samorodok Khabarovsk
