Year	Award Ceremony	Category	Nominee	Result
2011	Tony Award	Best Musical	Best Musical	Nominated
2011	Tony Award	Best Performance by a Leading Actor in a Musical	Norbert Leo Butz	Won
2011	Tony Award	Best Sound Design	Steve Canyon Kennedy	Nominated
2011	Tony Award	Best Orchestrations	Marc Shaiman and Larry Blank	Nominated
2011	Drama Desk Award	Outstanding Actor in a Musical	Norbert Leo Butz	Won
2011	Drama Desk Award	Outstanding Featured Actor in a Musical	Tom Wopat	Nominated
2011	Drama Desk Award	Outstanding Featured Actress in a Musical	Kerry Butler	Nominated
2011	Drama Desk Award	Outstanding Music	Marc Shaiman	Nominated
2011	Drama Desk Award	Outstanding Lyrics	Scott Wittman and Marc Shaiman	Nominated
2011	Drama Desk Award	Outstanding Orchestrations	Marc Shaiman and Larry Blank	Nominated
