Team	Chassis	Engine	Tires	Drivers
Newman/Haas Racing	Lola	Chevrolet	Goodyear	Mario Andretti
Newman/Haas Racing	Lola	Chevrolet	Goodyear	Michael Andretti
Patrick Racing	Penske	Chevrolet	Goodyear	Emerson Fittipaldi
Galles Racing	Lola	Chevrolet	Goodyear	Al Unser, Jr.
Team Penske	Penske	Chevrolet	Goodyear	Danny Sullivan
Team Penske	Penske	Chevrolet	Goodyear	Geoff Brabham
Team Penske	Penske	Chevrolet	Goodyear	Rick Mears
Team Penske	Penske	Chevrolet	Goodyear	Al Unser
Porsche North America	March	Porsche	Goodyear	Teo Fabi
Truesports	Lola	Judd	Goodyear	Scott Pruett
Kraco Racing	Lola	Cosworth	Goodyear	Bobby Rahal
Dick Simon Racing	Lola	Cosworth / Buick	Goodyear	Arie Luyendyk
Dick Simon Racing	Lola	Cosworth / Buick	Goodyear	Scott Brayton
Dick Simon Racing	Lola	Cosworth / Buick	Goodyear	Randy Lewis
Dick Simon Racing	Lola	Cosworth / Buick	Goodyear	Joe Sposato
Doug Shierson Racing	Lola	Judd	Goodyear	Raul Boesel
Raynor Racing	Lola	Judd	Goodyear	Derek Daly
Machinists Union Racing	March	Cosworth	Goodyear	Kevin Cogan
Machinists Union Racing	March	Cosworth	Goodyear	Johnny Rutherford
Machinists Union Racing	Lola	Cosworth	Goodyear	Pancho Carter
Protofab Racing	Lola	Cosworth	Goodyear	James Weaver
Protofab Racing	Lola	Cosworth	Goodyear	John Jones
A. J. Foyt Enterprises	Lola	Cosworth	Goodyear	A. J. Foyt
A. J. Foyt Enterprises	Lola	Cosworth	Goodyear	Rocky Moran
A. J. Foyt Enterprises	March	Cosworth	Goodyear	Rich Vogler
Bayside Motorsports	Lola	Cosworth	Goodyear	Dominic Dobson
Andale Racing	Lola	Cosworth	Goodyear	Bernard Jourdain
Andale Racing	Lola	Cosworth	Goodyear	Johnny Parsons
Euromotorsport	Lola	Cosworth	Goodyear	Jean-Pierre Frey
Euromotorsport	Lola	Cosworth	Goodyear	Davy Jones
Euromotorsport	Lola	Cosworth	Goodyear	Scott Atchison
Euromotorsport	Lola	Cosworth	Goodyear	Tero Palmroth
Euromotorsport	Lola	Cosworth	Goodyear	Guido Daccò
Alex Morales Motorsports	March	Alfa Romeo	Goodyear	Roberto Guerrero
Arciero Racing	Penske	Cosworth	Goodyear	Didier Theys
Arciero Racing	Penske	Cosworth	Goodyear	Fabrizio Barbazza
Arciero Racing	Penske	Cosworth	Goodyear	Rich Vogler
Hemelgarn Racing	Lola	Judd / Buick	Goodyear	Ludwig Heimrath
Hemelgarn Racing	Lola	Judd / Buick	Goodyear	Tero Palmroth
Hemelgarn Racing	Lola	Judd / Buick	Goodyear	Didier Theys
Hemelgarn Racing	Lola	Judd / Buick	Goodyear	Gordon Johncock
Hemelgarn Racing	Lola	Judd / Buick	Goodyear	Scott Goodyear
Hemelgarn Racing	Lola	Judd / Buick	Goodyear	Robby Unser
Hemelgarn Racing	Lola	Judd / Buick	Goodyear	Billy Vukovich III
Granatelli Racing	Lola / March	Buick / Cosworth	Goodyear	Didier Theys
Granatelli Racing	Lola / March	Buick / Cosworth	Goodyear	John Andretti
Granatelli Racing	Lola / March	Buick / Cosworth	Goodyear	Tom Sneva
Dale Coyne Racing	Lola	Cosworth	Goodyear	Guido Daccò
Dale Coyne Racing	Lola	Cosworth	Goodyear	Dale Coyne
Dale Coyne Racing	Lola	Cosworth	Goodyear	Fulvio Ballabio
Dale Coyne Racing	Lola	Cosworth	Goodyear	Ken Johnson
Dale Coyne Racing	Lola	Cosworth	Goodyear	John Paul, Jr.
ATEC Environmental	Lola	Cosworth	Goodyear	Guido Daccò
Bernstein Racing	Lola	Buick	Goodyear	Jim Crawford
Saleen	March	Cosworth	Goodyear	Steve Saleen
Gohr Racing	Lola / March	Cosworth	Goodyear	Jeff Wood
Gohr Racing	Lola / March	Cosworth	Goodyear	Tero Palmroth
Bettenhausen Motorsports	Lola	Cosworth	Goodyear	Jon Beekhuis
Bettenhausen Motorsports	Lola	Cosworth	Goodyear	Steve Chassey
Bettenhausen Motorsports	Lola	Cosworth	Goodyear	Michael Greenfield
Bettenhausen Motorsports	Lola	Cosworth	Goodyear	Dennis Vitolo
Bettenhausen Motorsports	Lola	Cosworth	Goodyear	John Paul, Jr.
Bettenhausen Motorsports	Lola	Cosworth	Goodyear	Fulvio Ballabio
Bettenhausen Motorsports	Lola	Cosworth	Goodyear	Tony Bettenhausen, Jr.
Mann Motorsports	Lola	Buick	Goodyear	Gary Bettenhausen
Mann Motorsports	Lola	Buick	Goodyear	John Paul, Jr.
Mann Motorsports	Lola	Buick	Goodyear	Mark Dismore
Stoops Freightliner	Lola	Cosworth	Goodyear	Johnny Rutherford
Stoops Freightliner	Lola	Cosworth	Goodyear	Steve Butler
U.S. Engineering	Lola	Cosworth	Goodyear	Scott Harrington
U.S. Engineering	Lola	Cosworth	Goodyear	Phil Krueger
Team Lazier	March	Cosworth	Goodyear	Buddy Lazier
Curb Racing	March	Cosworth	Goodyear	Rocky Moran
