Week	Date	Opponent	Result	Attendance
1	September 10, 2001	New York Giants	W 31–20	75,735
2	September 23, 2001	at Arizona Cardinals	W 38–17	50,913
3	September 30, 2001	Baltimore Ravens	L 20–13	75,082
4	October 7, 2001	Kansas City Chiefs	W 20–6	75,037
5	October 14, 2001	at Seattle Seahawks	L 34–21	61,837
6	October 21, 2001	at San Diego Chargers	L 27–10	67,521
7	October 28, 2001	New England Patriots	W 31–20	74,750
8	November 5, 2001	at Oakland Raiders	L 38–28	62,637
9	November 11, 2001	San Diego Chargers	W 26–16	74,951
10	November 18, 2001	Washington Redskins	L 17–10	74,622
11	November 22, 2001	at Dallas Cowboys	W 26–24	64,104
12	December 2, 2001	at Miami Dolphins	L 21–10	73,938
13	December 9, 2001	Seattle Seahawks	W 20–7	74,524
14	December 16, 2001	at Kansas City Chiefs	L 26–23	77,778
15	Bye	Bye	Bye	Bye
16	December 30, 2001	Oakland Raiders	W 23–17	75,582
17	January 6, 2002	at Indianapolis Colts	L 29–10	56,192
