Opponent	Highest ranking	Matches	Lost	Win %
Lleyton Hewitt	1	2	0	100%
Juan Carlos Ferrero	1	1	0	100%
Andy Roddick	1	3	2	33.33%
Novak Đoković	1	14	13	7.14%
Carlos Moyá	1	1	1	0%
Roger Federer	1	2	2	0%
Rafael Nadal	1	4	4	0%
Andy Murray	2	5	5	0%
Ivan Ljubičić	3	4	2	50%
Nikolay Davydenko	3	3	2	33.33%
David Nalbandian	3	5	4	20%
Nicolas Kiefer	4	1	1	0%
Robin Söderling	4	1	1	0%
David Ferrer	4	3	3	0%
Juan Martín del Potro	4	6	6	0%
Jo-Wilfried Tsonga	5	6	3	50%
Tommy Robredo	5	4	2	50%
Rainer Schüttler	5	5	2	60%
Nicolás Lapentti	6	2	0	100%
Tomáš Berdych	6	5	4	20%
Gilles Simon	6	5	5	0%
Richard Gasquet	7	4	2	50%
Mardy Fish	7	1	1	0%
Gaël Monfils	7	3	3	0%
Mikhail Youzhny	8	5	2	60%
Radek Štěpánek	8	8	5	37.50%
Janko Tipsarević	8	3	2	33.33%
Jürgen Melzer	8	4	3	25%
Marcos Baghdatis	8	4	3	25%
Guillermo Cañas	8	1	1	0%
John Isner	9	4	1	75%
Marin Čilić	9	7	5	28.57%
Stanislas Wawrinka	9	2	2	0%
Nicolás Almagro	9	3	3	0%
Juan Mónaco	10	4	1	75%
Arnaud Clément	10	1	1	0%
Total	– –	136	97	28.68%
