Rank	Nation	Gold	Silver	Bronze	Total
1	South Korea	8	0	2	10
2	Iran	2	2	1	5
3	Chinese Taipei	2	0	1	3
4	United States	1	2	3	6
5	Spain	1	1	3	5
6	China	1	1	1	3
7	Greece	1	0	2	3
8	Croatia	0	2	1	3
9	France	0	2	0	2
10	Germany	0	1	2	3
11	Canada	0	1	1	2
11	Denmark	0	1	1	1
13	Cuba	0	1	0	1
13	Great Britain	0	1	0	1
13	Mexico	0	1	0	1
16	Azerbaijan	0	0	4	4
17	Thailand	0	0	2	2
18	Australia	0	0	1	1
18	Austria	0	0	1	1
18	Belarus	0	0	1	1
18	Kazakhstan	0	0	1	1
18	Morocco	0	0	1	1
18	Philippines	0	0	1	1
18	Turkey	0	0	1	1
18	Venezuela	0	0	1	1
Total	Total	16	16	32	64
