Season	Series	Team	Races	Wins	Poles	F/Laps	Points	Position
2003	British Formula Renault 2.0 (Winter Series)	Manor Motorsport	3	0	0	0	3	22nd
2004	British Formula Renault 2.0 (Regular Series)	Team JVA	17	0	0	0	14	34th
2005	French Formula Renault 2.0 (Regular Series)	Comtec Racing	12	0	0	0	1	21st
2005	Formula Renault 2.0 Eurocup	Comtec Racing	15	0	0	0	0	NC
2006	Formula Renault 2.0 Eurocup	Comtec Team	14	0	0	0	0	NC
2006	British Formula Renault 2.0 (Regular Series)	Comtec Racing	16	0	0	0	87	19th
2007	Formula Renault 3.5 Series	Cram Competition	16	0	0	0	1	27th
2008	Formula Renault 3.5 Series	P1 Motorsport	17	0	0	0	5	25th
2008	Porsche Carrera Cup Great Britain	Team Eurotech	6	0	0	0	15	17th
2009	Firestone Indy Lights Series	Panther Racing	15	0	0	0	237	14th
2010	Firestone Indy Lights Series	Sam Schmidt Motorsports	12	1	3	0	312	5th
2011	IZOD IndyCar Series	Conquest Racing	1	0	0	0	32	38th
2011	IZOD IndyCar Series	Rahal Letterman Lanigan Racing	1	0	0	0	32	38th
2012	Auto GP World Series	Campos Racing	2	0	0	0	5	20th
