Date	Event #	Event	Winner	Prize	Entries	Prize Pool	Elapsed Time
May 8	1L	$22 No Limit Hold'em [6-max]	willrobrobu	$34,358.84*	19,946	$398,920	[2-Day] event
May 8	1M	$215 No Limit Hold'em [6-max]	joemac17	$118,544.94	3,824	$764,800	[2-Day] event
May 8	1H	$2,100 No Limit Hold'em [6-max]	B4d3m3!st3r	$185,200	463	$926,000	[2-Day] event
May 8	2L	$22 No Limit Hold'em	Humlae79	$46,613.26	25,883	$517,660	[2-Day] event
May 8	2M	$215 No Limit Hold'em	zethos1	$209,202.21	6,877	$1,375,400	[2-Day] event
May 8	2H	$2,100 No Limit Hold'em	in Y0UR F4CE ( Jake Cody )	$234,738.00	621	$1,242,000	[2-Day] event
May 9	3L	$5.50 No Limit Hold'em w/rebuys [6-max]	MusonToch	$32,350.62	17,240 (24,934R, 11,013 A)	$265,935	[2-Day] event
May 9	3M	$55 No Limit Hold'em w/rebuys [6-max]	xandyLx	$74,548.85	3,586 (3,630 R, 2,403 A)	$480,950	[2-Day] event
May 9	3H	$530 No Limit Hold'em w/rebuys [6-max]	zefir_max	$87,050.92*	372 (405 R, 291 A)	$534,000	[2-Day] event
May 9	4L	$16.50 Fixed-Limit Badugi	DAMIROK	$4,778.95*	2,128	$31,920	13 h 16 min
May 9	4M	$162 Fixed-Limit Badugi	DazzleO (Daniel Ospina)	$8,862.87	303	$45,450	12 h 44 min
May 9	4H	$1,575 Fixed-Limit Badugi	Amke	$30,000	50	$75,000	12 h 36 min
May 9	5L	$11 No Limit Hold'em w/rebuys [Turbo]	vlimpers	$51,312.68	11,071 (20,014 R, 6,501 A)	$375,860	5 h 27 min
May 9	5M	$109 No Limit Hold'em w/rebuys [Turbo]	filfedra ( Martin Staszko )	$91,539.90	1,700 (2,772 R, 1,108 A)	$558,000	4 h 41min
May 9	5H	$1,575 No Limit Hold'em w/rebuys [Turbo]	xSuPrA	$157,810	233 (336 R, 165 A)	$734,000	3 h 27 min
May 10	6L	$11 Pot Limit 5 Card Draw	reddblack	$4,432.86	3,580	$35,800	12 h 31 min
May 10	6M	$109 Pot Limit 5 Card Draw	devsdynamite	$8,978.40	464	$46,400	11 h 38 min
May 10	6H	$1,050 Pot Limit 5 Card Draw	Supa4real (Cyriel Dohmen)	$18,300.00	61	$61,000	12 h 27 min
