Rank	Name	Height* m (ft)	Floors	Year* (est.)	City
1	The Address the BLVD	metres (ft)	72	2015	Dubai
2	WTC Tower	320 / 1,000	68	2009	Abu Dhabi
3	Tameer Commercial Tower	300 / 985	74	2011	Abu Dhabi
4	The Grand Boulevard Tower	metres (ft)	69	—	Dubai
5	Marina Arcade	metres (ft)	65	—	Dubai
6	JB Tower	metres (ft)	60	—	Dubai
7	Escan Tower	metres (ft)	60	—	Dubai
8	Burj Park III	metres (ft)	60	—	Dubai
9	Burjside Terrace	metres (ft)	62	—	Dubai
10	The Mansion at Burj Khalifa	metres (ft)	60	—	Dubai
11	Nili Tower	metres (ft)	57	—	Dubai
31	Etihad Tower 5	metres (ft)	56	2011	Abu Dhabi
12	Al Boraq Tower	metres (ft)	45	—	Dubai
13	IRIS Mist	metres (ft)	54	—	Dubai
14	The Sheffield Tower	metres (ft)	46	—	Dubai
15	Fortune Araames	metres (ft)	45	—	Dubai
16	El Matador Tower	metres (ft)	43	—	Dubai
17	Mag 220 Tower	metres (ft)	45	—	Dubai
18	Arabian Crowne	metres (ft)	45	—	Dubai
