№	#	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (million)
21	1	" A New Day in the Old Town "	Akiva Goldsman	J. J. Abrams & Akiva Goldsman	September17,2009	3X5101	7.82
22	2	" Night of Desirable Objects "	Brad Anderson	Jeff Pinkner & J. H. Wyman	September24,2009	3X5102	5.73
23	3	" Fracture "	Bryan Spicer	David Wilcox	October1,2009	3X5103	6.03
24	4	" Momentum Deferred "	Joe Chappelle	Zack Stentz & Ashley Edward Miller	October8,2009	3X5104	5.83
25	5	" Dream Logic "	Paul Edwards	Josh Singer	October15,2009	3X5105	5.78
26	6	" Earthling "	Jon Cassar	J. H. Wyman & Jeff Vlaming	November5,2009	3X5106	4.86
27	7	" Of Human Action "	Joe Chappelle	Robert Chiappetta & Glen Whitman	November12,2009	3X5107	5.91
28	8	" August "	Dennis Smith	J. H. Wyman & Jeff Pinkner	November19,2009	3X5108	5.90
29	9	" Snakehead "	Paul Holahan	David Wilcox	December3,2009	3X5109	6.94
30	10	" Grey Matters "	Jeannot Szwarc	Ashley Edward Miller & Zack Stentz	December10,2009	3X5110	6.32
31	11	" Unearthed "	Frederick E. O. Toye	David H. Goodman & Andrew Kreisberg	January11,2010	3T7670	7.72
32	12	" Johari Window "	Joe Chappelle	Josh Singer	January14,2010	3X5111	6.60
33	13	" What Lies Below "	Deran Sarafian	Jeff Vlaming	January21,2010	3X5112	6.90
34	14	" The Bishop Revival "	Adam Davidson	Glen Whitman & Robert Chiappetta	January28,2010	3X5113	8.90
35	15	" Jacksonville "	Charles Beeson	Ashley Edward Miller & Zack Stentz	February4,2010	3X5114	7.40
37	17	" Olivia. In the Lab. With the Revolver. "	Brad Anderson	Matthew Pitts	April8,2010	3X5116	6.33
38	18	" White Tulip "	Thomas Yatsko	J. H. Wyman & Jeff Vlaming	April15,2010	3X5117	6.62
39	19	" The Man from the Other Side "	Jeffrey Hunt	Josh Singer & Ethan Gross	April22,2010	3X5118	5.84
40	20	" Brown Betty "	Seith Mann	Jeff Pinkner & J. H. Wyman & Akiva Goldsman	April29,2010	3X5119	5.55
42	22	" Over There (Part 1) "	Akiva Goldsman	J. H. Wyman & Jeff Pinkner & Akiva Goldsman	May13,2010	3X5121	6.00
