Nat.	Name	Since	Goals	Ends	Transfer fee
SCO	Allan McGregor	1998	0	2013	Youth system
USA	Maurice Edu	2008	2	2013	£2.6m
SCO	David Weir ( captain )	2007 (Winter)	5	2010	Free
ESP	Carlos Cuéllar	2007	5	2011	£2.37m
POR	Pedro Mendes	2008	4	2011	£3m
BIH	Saša Papac	2006	2	2011	£0.45m
SCO	Barry Ferguson	2005 (Winter)	61	2010	£4.5m
ALG	Brahim Hemdani	2005	2	2009	Free
SCO	Kevin Thomson	2007 (Winter)	3	2011	£2m
SCO	Kris Boyd	2005 (Winter)	102	2010	£0.4m
ESP	Nacho Novo	2004	64	2010	£0.45m
SCO	Charlie Adam	2003	18	2012	Youth system
SCO	Lee McCulloch	2007	7	2011	£2.25m
SCO	Steven Naismith	2008	5	2012	£1.9m
SCO	Alan Gow	2007	0	2010	Free
SCO	Graeme Smith	2007	0	2010	Free
SCO	Chris Burke	2000	14	2009	Youth system
SCO	Kenny Miller	2008	24	2011	£2m
FRA	Jean-Claude Darcheville	2007	16	2009	Free
USA	DaMarcus Beasley	2007	5	2010	£0.7m
SCO	Kirk Broadfoot	2007	1	2010	Free
SCO	Andy Webster	2008	1	2011	£0.4m
SCO	Christian Dailly	2008 (Winter)	2	2009	Free
ALG	Madjid Bougherra	2008	1	2012	£2.5m
SCO	Neil Alexander	2008 (Winter)	0	2011	Free
SCO	Steven Smith	2002	1	2010	Youth system
NIR	Kyle Lafferty	2008	9	2013	£3.25m
SCO	Steven Whittaker	2007	8	2012	£2m
GAB	Daniel Cousin	2007	13	2010	£1.1m
ESP	Aarón Ñíguez	2008	2	2010	Loan
NIR	Steven Davis	2008	8	2012	£3m
LIT	Andrius Velička	2008	5	2011	£1m
SCO	Rory Loy	2006	0	2011	£0.025m
SCO	John Fleck	2007	1	2011	Youth system
NIR	Andrew Little	2006	0	2011	Youth system
