Name	Birth	Marriage	Became Consort	Ceased to be Consort	Spouse
Ippolita Trivulzio	1600	13 February 1616	13 February 1616	1638	Honoré II
Catherine Charlotte de Gramont	1639	30 March 1660	10 January 1662 husband's accession	4 June 1678	Louis I
Marie of Lorraine	12 August 1674	13 June 1688	2 January 1701 husband's accession	30 October 1724	Antonio I
Jacques François de Matignon	21 November 1689	5 June 1757	26 February 1731 wife's accession	29 December 1731 wife's death	Louise-Hippolyte
Maria Caterina Brignole	7 October 1737	5 June 1757	5 June 1757	1770 divorce	Honoré III
Maria Caroline Gibert de Lametz	18 July 1793	27 November 1816	2 October 1841 husband's accession	20 June 1856 husband's death	Florestan I
Antoinette de Mérode	28 September 1828	28 September 1846	20 June 1856 husband's accession	10 February 1864	Charles III
Alice Heine	10 February 1858	30 October 1889	30 October 1889	26 June 1922 husband's death	Albert I
Ghislaine Dommanget	13 October 1900	24 July 1946	24 July 1946	9 May 1949 husband's death	Louis II
Grace Kelly	12 November 1929	18 April 1956	18 April 1956	14 September 1982	Rainier III
Charlene Wittstock	25 January 1978	1 July 2011	1 July 2011	Incumbent	Albert II
