Name	Pos.	Height	Weight	Date of Birth
Jacqueline Frank	GK	m (ft 11in)	kg (lb)	1980-05-01
Heather Petri	D	m (ft 11in)	kg (lb)	1978-06-13
Ericka Lorenz	D	m (ft 11in)	kg (lb)	1981-02-18
Brenda Villa	D	m (ft 4in)	kg (lb)	1980-04-18
Ellen Estes	CF	m (ft 0in)	kg (lb)	1978-10-13
Natalie Golda	CB	m (ft 11in)	kg (lb)	1981-12-28
Margaret Dingeldein	D	m (ft 6in)	kg (lb)	1980-05-30
Kelly Rulon	D	m (ft 10in)	kg (lb)	1984-08-16
Heather Moody	CF	m (ft 0in)	kg (lb)	1973-08-21
Robin Beauregard	CB	m (ft 9in)	kg (lb)	1979-02-23
Amber Stachowski	CB	m (ft 0in)	kg (lb)	1983-03-14
Nicolle Payne	GK	m (ft 9in)	kg (lb)	1976-07-15
Thalia Munro	CB	m (ft 10in)	kg (lb)	1982-03-08
Head Coach: Guy Baker	Head Coach: Guy Baker	Head Coach: Guy Baker	Head Coach: Guy Baker	Head Coach: Guy Baker
