Name	Country	Type	Moving from	Transfer window	Ends	Transfer fee	Source
Ankergren	DEN	Transfer	Brøndby	Summer	2010	Undisclosed	Leeds United
Constantine	ENG	Free Agent	Port Vale	Summer	2009	Free	Leeds United
Weston	ENG	Free Agent	Swindon Town	Summer	2009	Free	Leeds United
Prutton	ENG	Free Agent	Southampton	Summer	2009	Free	Leeds United
Thompson	ENG	Free Agent	Celtic	Summer	2008	Free	Leeds United
Hughes	ENG	Transfer	Norwich City	Summer	2009	Undisclosed	Leeds United
Martin	SCO	Transfer	Motherwell	Summer	2009	Undisclosed	Leeds United
Huntington	ENG	Transfer	Newcastle United	Summer	2009	£150k	Leeds United
da Costa	POR	Free Agent	Ionikos	Summer	2008	Free	Leeds United
Lucas	ENG	Free Agent	Barnsley	Summer	2008	Free	Leeds United
Sorsa	FIN	Free Agent	HJK	Winter	2009	Free	Leeds United
Kilkenny	AUS ENG	Transfer	Birmingham City	Winter	2011	£150k	Leeds United
Johnson	ENG	Transfer	Northampton Town	Winter	2011	£250k	Leeds United
Sweeney	SCO	Transfer	Stoke City	Winter	2010	£150k	Leeds United
Kenton	ENG	Free Agent	Leicester City	Winter	2008	Free	Leeds United
Michalík	SVK	Transfer	Bolton Wanderers	Winter	2011	£200k	Leeds United
Elding	ENG	Transfer	Stockport County	Winter	2010	£100k	Leeds United Yorkshire Post
