Place Name	County(ies) [A ]	Population (2010)	Land Area (2010)	Density (2010)
Abanda	Chambers County	192	3sqmi (7.76km 2 )	64.04/sqmi (24.74/km 2 )
Alexandria	Calhoun County	3917	11.12sqmi (28.79km 2 )	352.41/sqmi (136.05/km 2 )
Axis	Mobile County	757	3.93sqmi (10.17km 2 )	192.87/sqmi (74.43/km 2 )
Ballplay	Etowah County	1580	23.47sqmi (60.77km 2 )	67.33/sqmi (26/km 2 )
Belgreen	Franklin County	129	1.23sqmi (3.18km 2 )	105.05/sqmi (40.57/km 2 )
Bellamy	Sumter County	543	3.78sqmi (9.78km 2 )	143.8/sqmi (55.52/km 2 )
Belle Fontaine	Mobile County	608	1.56sqmi (4.03km 2 )	391/sqmi (150.87/km 2 )
Blue Ridge	Elmore County	1341	7.77sqmi (20.11km 2 )	172.68/sqmi (66.68/km 2 )
Boykin	Wilcox County	275	2.66sqmi (6.89km 2 )	103.38/sqmi (39.91/km 2 )
Brantleyville	Shelby County	884	2.17sqmi (5.61km 2 )	408.13/sqmi (157.58/km 2 )
Bristow Cove	Etowah County	683	10.84sqmi (28.08km 2 )	62.99/sqmi (24.32/km 2 )
Brook Highland	Shelby County	6746	2.83sqmi (7.33km 2 )	2,384.59/sqmi (920.33/km 2 )
Broomtown	Cherokee County	182	4.69sqmi (12.16km 2 )	38.77/sqmi (14.97/km 2 )
Bucks	Mobile County	32	0.39sqmi (1km 2 )	82.69/sqmi (32/km 2 )
Calvert	Washington County	277	3.44sqmi (8.92km 2 )	80.45/sqmi (31.05/km 2 )
Carlisle-Rockledge	Etowah County	2137	16.19sqmi (41.93km 2 )	132/sqmi (50.97/km 2 )
Carlton	Clarke	65	4.52sqmi (11.71km 2 )	14.38/sqmi (5.55/km 2 )
Catherine	Wilcox County	22	2.3sqmi (5.94km 2 )	9.59/sqmi (3.7/km 2 )
Choccolocco	Calhoun County	2804	11.65sqmi (30.16km 2 )	240.79/sqmi (92.97/km 2 )
Chunchula	Mobile County	210	1.81sqmi (4.67km 2 )	116.34/sqmi (44.97/km 2 )
Coats Bend	Etowah County	1394	8.55sqmi (22.14km 2 )	163.04/sqmi (62.96/km 2 )
Concord	Jefferson County	1837	3.37sqmi (8.72km 2 )	545.91/sqmi (210.67/km 2 )
Cullomburg	Choctaw County	171	5.35sqmi (13.84km 2 )	31.99/sqmi (12.36/km 2 )
Deer Park	Washington County	188	3.13sqmi (8.09km 2 )	60.16/sqmi (23.24/km 2 )
Delta	Clay County	197	7.79sqmi (20.17km 2 )	25.3/sqmi (9.77/km 2 )
Dunnavant	Shelby County	981	17.71sqmi (45.86km 2 )	55.4/sqmi (21.39/km 2 )
East Point	Cullman County	201	1.16sqmi (3km 2 )	173.28/sqmi (67/km 2 )
Edgewater	Jefferson County	883	1.21sqmi (3.14km 2 )	727.95/sqmi (281.21/km 2 )
Egypt	Etowah County	932	9.01sqmi (23.34km 2 )	103.42/sqmi (39.93/km 2 )
Emerald Mountain	Elmore County	2561	16.09sqmi (41.67km 2 )	159.19/sqmi (61.46/km 2 )
Eunola	Geneva County	243	1.84sqmi (4.76km 2 )	132.35/sqmi (51.05/km 2 )
Fairford	Washington County	186	3.07sqmi (7.95km 2 )	60.57/sqmi (23.4/km 2 )
Fayetteville	Talladega County	1284	17.44sqmi (45.18km 2 )	73.61/sqmi (28.42/km 2 )
Fitzpatrick	Bullock County	83	4.16sqmi (10.78km 2 )	19.94/sqmi (7.7/km 2 )
Forestdale	Jefferson County	10162	6.86sqmi (17.77km 2 )	1,481.34/sqmi (571.86/km 2 )
Fort Rucker	Dale County	4636	10.88sqmi (28.19km 2 )	425.99/sqmi (164.46/km 2 )
Fredonia	Chambers County	199	11.98sqmi (31.02km 2 )	16.61/sqmi (6.42/km 2 )
Fruitdale	Washington County	185	4.47sqmi (11.59km 2 )	41.35/sqmi (15.96/km 2 )
Gallant	Etowah County	855	14.38sqmi (37.25km 2 )	59.45/sqmi (22.95/km 2 )
Graham	Randolph County	211	5.85sqmi (15.16km 2 )	36.04/sqmi (13.92/km 2 )
Grand Bay	Mobile County	3672	8.68sqmi (22.47km 2 )	423.29/sqmi (163.42/km 2 )
Grayson Valley	Jefferson County	5736	2sqmi (5.17km 2 )	2,872.31/sqmi (1,109.48/km 2 )
Gulfcrest	Mobile County	161	1.51sqmi (3.92km 2 )	106.34/sqmi (41.07/km 2 )
Hackneyville	Tallapoosa County	347	8.96sqmi (23.21km 2 )	38.71/sqmi (14.95/km 2 )
Harvest	Madison County	5281	12.33sqmi (31.94km 2 )	428.2/sqmi (165.34/km 2 )
Hatton	Lawrence County	261	1.33sqmi (3.45km 2 )	195.8/sqmi (75.65/km 2 )
Hazel Green	Madison County	3630	10.03sqmi (25.98km 2 )	361.81/sqmi (139.72/km 2 )
Highland Lakes	Shelby County	3926	3.66sqmi (9.48km 2 )	1,072.97/sqmi (414.14/km 2 )
Hissop	Coosa County	658	18.26sqmi (47.28km 2 )	36.04/sqmi (13.92/km 2 )
Hobson	Washington County	126	2.94sqmi (7.62km 2 )	42.8/sqmi (16.54/km 2 )
Hollins	Clay County	545	11.84sqmi (30.67km 2 )	46.02/sqmi (17.77/km 2 )
Hollis Crossroads	Cleburne County	608	12.46sqmi (32.26km 2 )	48.81/sqmi (18.85/km 2 )
Holt	Tuscaloosa County	3638	3.16sqmi (8.19km 2 )	1,149.81/sqmi (444.2/km 2 )
Holtville	Elmore County	4096	21.58sqmi (55.88km 2 )	189.83/sqmi (73.3/km 2 )
Huguley	Chambers County	2540	8.35sqmi (21.62km 2 )	304.3/sqmi (117.48/km 2 )
Ivalee	Etowah County	879	7.45sqmi (19.3km 2 )	117.97/sqmi (45.54/km 2 )
Joppa	Cullman County	501	1.94sqmi (5.03km 2 )	257.72/sqmi (99.6/km 2 )
Ladonia	Russell County	3142	3.14sqmi (8.12km 2 )	1,001.59/sqmi (386.95/km 2 )
Leroy	Washington County	911	11.91sqmi (30.85km 2 )	76.49/sqmi (29.53/km 2 )
Lookout Mountain	Etowah County	1621	15.31sqmi (39.64km 2 )	105.91/sqmi (40.89/km 2 )
Macedonia	Pickens County	292	3.95sqmi (10.22km 2 )	73.96/sqmi (28.57/km 2 )
Malcolm	Washington County	187	2.36sqmi (6.11km 2 )	79.27/sqmi (30.61/km 2 )
Marbury	Autauga County	1418	23.15sqmi (59.96km 2 )	61.24/sqmi (23.65/km 2 )
McDonald Chapel	Jefferson County	717	1.08sqmi (2.79km 2 )	665.12/sqmi (256.99/km 2 )
Meadowbrook	Shelby County	8769	4.22sqmi (10.92km 2 )	2,079.93/sqmi (803.02/km 2 )
Megargel	Monroe County	62	0.69sqmi (1.78km 2 )	90.12/sqmi (34.83/km 2 )
Meridianville	Madison County	6021	15.54sqmi (40.25km 2 )	387.43/sqmi (149.59/km 2 )
Mignon	Talladega County	1284	2.59sqmi (6.71km 2 )	495.94/sqmi (191.36/km 2 )
Millerville	Clay County	278	6.7sqmi (17.35km 2 )	41.5/sqmi (16.02/km 2 )
Minor	Jefferson County	1094	0.7sqmi (1.82km 2 )	1,560.63/sqmi (601.1/km 2 )
Moores Mill	Madison County	5682	13.6sqmi (35.23km 2 )	417.7/sqmi (161.28/km 2 )
Morrison Crossroads	Randolph County	219	5.19sqmi (13.44km 2 )	42.19/sqmi (16.29/km 2 )
Mount Olive	Coosa County	371	8.32sqmi (21.55km 2 )	44.6/sqmi (17.22/km 2 )
Mount Olive	Jefferson County	4079	9.32sqmi (24.13km 2 )	438.6/sqmi (169.3/km 2 )
Movico	Mobile County	305	0.78sqmi (2.03km 2 )	389.53/sqmi (150.25/km 2 )
Nanafalia	Marengo County	94	2.17sqmi (5.62km 2 )	43.32/sqmi (16.73/km 2 )
Nances Creek	Calhoun County	407	5.81sqmi (15.04km 2 )	70.08/sqmi (27.06/km 2 )
New Market	Madison County	1597	17.53sqmi (45.4km 2 )	91.1/sqmi (35.18/km 2 )
New Union	Etowah County	955	12.18sqmi (31.56km 2 )	78.38/sqmi (30.26/km 2 )
Our Town	Tallapoosa County	641	11.88sqmi (30.77km 2 )	53.96/sqmi (20.83/km 2 )
Panola	Sumter County	144	0.72sqmi (1.86km 2 )	200.56/sqmi (77.42/km 2 )
Penton	Chambers County	201	9.14sqmi (23.66km 2 )	22/sqmi (8.5/km 2 )
Peterman	Monroe County	89	0.42sqmi (1.1km 2 )	210.4/sqmi (80.91/km 2 )
Pine Level	Autauga County	4183	24.81sqmi (64.25km 2 )	168.62/sqmi (65.11/km 2 )
Point Clear	Baldwin County	2125	5.51sqmi (14.27km 2 )	385.8/sqmi (148.91/km 2 )
Putnam	Marengo County	193	9.49sqmi (24.57km 2 )	20.35/sqmi (7.86/km 2 )
Ray	Coosa County	443	8.2sqmi (21.25km 2 )	54/sqmi (20.85/km 2 )
Redland	Elmore County	3736	24.14sqmi (62.53km 2 )	154.75/sqmi (59.75/km 2 )
Redstone Arsenal	Madison County	1946	7.76sqmi (20.09km 2 )	250.84/sqmi (96.86/km 2 )
Reeltown	Tallapoosa County	766	7.55sqmi (19.55km 2 )	101.5/sqmi (39.18/km 2 )
Rock Creek	Jefferson County	1456	3.02sqmi (7.81km 2 )	482.76/sqmi (186.43/km 2 )
Rock Mills	Randolph County	600	6.33sqmi (16.38km 2 )	94.86/sqmi (36.63/km 2 )
Rockville	Clarke County	43	2.81sqmi (7.27km 2 )	15.32/sqmi (5.91/km 2 )
St. Stephens	Washington County	495	9.88sqmi (25.58km 2 )	50.12/sqmi (19.35/km 2 )
Saks	Calhoun County	10744	12.15sqmi (31.47km 2 )	884.21/sqmi (341.4/km 2 )
Selmont-West Selmont	Dallas County	2671	3.28sqmi (8.49km 2 )	814.83/sqmi (314.61/km 2 )
Shelby	Shelby County	1044	18.76sqmi (48.58km 2 )	55.65/sqmi (21.49/km 2 )
Shoal Creek	Shelby County	1400	5.01sqmi (12.97km 2 )	279.66/sqmi (107.94/km 2 )
Sims Chapel	Washington County	153	5.7sqmi (14.77km 2 )	26.83/sqmi (10.36/km 2 )
Smoke Rise	Blount County	1825	6.45sqmi (16.7km 2 )	283.08/sqmi (109.28/km 2 )
Spring Garden	Cherokee County	238	2.27sqmi (5.87km 2 )	105.08/sqmi (40.55/km 2 )
Spruce Pine	Franklin County	222	0.93sqmi (2.4km 2 )	239.74/sqmi (92.5/km 2 )
Standing Rock	Chambers County	168	3.19sqmi (8.26km 2 )	52.7/sqmi (20.34/km 2 )
Sterrett	Shelby County	712	22.93sqmi (59.38km 2 )	31.06/sqmi (11.99/km 2 )
Stewartville	Coosa County	1767	24.14sqmi (62.52km 2 )	73.2/sqmi (28.26/km 2 )
Theodore	Mobile County	6130	7.99sqmi (20.7km 2 )	766.92/sqmi (296.14/km 2 )
Tibbie	Washington County	41	1.75sqmi (4.53km 2 )	23.43/sqmi (9.05/km 2 )
Tidmore Bend	Etowah County	1245	9.64sqmi (24.95km 2 )	129.22/sqmi (49.9/km 2 )
Tillmans Corner	Mobile County	17398	12.97sqmi (33.6km 2 )	1,340.99/sqmi (517.8/km 2 )
Underwood-Petersville	Lauderdale County	3247	5.86sqmi (15.17km 2 )	554.19/sqmi (214.04/km 2 )
Uriah	Monroe County	294	1.61sqmi (4.16km 2 )	183.06/sqmi (70.67/km 2 )
Vandiver	Shelby County	1135	20.47sqmi (53km 2 )	55.46/sqmi (21.42/km 2 )
Vinegar Bend	Washington County	192	9.45sqmi (24.48km 2 )	20.31/sqmi (7.84/km 2 )
Weogufka	Coosa County	282	8.26sqmi (21.4km 2 )	34.13/sqmi (13.18/km 2 )
West End-Cobb Town	Calhoun County	3465	4.15sqmi (10.74km 2 )	835.75/sqmi (322.63/km 2 )
Whatley	Clarke County	150	1.29sqmi (3.34km 2 )	116.19/sqmi (44.91/km 2 )
White Plains	Calhoun County	811	12.81sqmi (33.19km 2 )	63.29/sqmi (24.44/km 2 )
