Airing date	English title (Chinese title)	Number of episodes	Genre	Official website
7 Dec 2005- 4 Jan 2006	When Rules Turn Loose 識法代言人	21	Modern drama	Official website
5 Jan- 25 Feb	Lethal Weapons of Love and Passion 覆雨翻雲	40	Costume action	Official website
31 Jan- 26 Feb	A Pillow Case of Mystery 施公奇案	20	Costume comedy	Official website
27 Feb- 31 Mar	Safe Guards 鐵血保鏢	25	Costume drama	Official website
3 Apr- 28 Apr	Bar Bender 潮爆大狀	20	Modern drama	Official website
17 April- 14 May	La Femme Desperado 女人唔易做	22	Modern drama	Official website
15 May- 9 Jun	Trimming Success 飛短留長父子兵	20	Modern drama	Official website
13 Jun- 9 Jul	Men in Pain 男人之苦	21	Modern drama	Official website
10 Jul- 27 Aug	The Saviour of the Soul 神鵰俠侶	37	Costume drama	Official website
28 Aug- 6 Oct	Maidens' Vow 鳳凰四重奏	30	Drama	Official website
9 Oct- 3 Nov	At Home With Love 樓住有情人	20	Modern drama	Official website
6 Nov- 15 Dec	Glittering Days 東方之珠	30	Period drama	Official website
18 Dec 2006- 10 Feb 2007	The Conquest 爭霸	42	Costume action	Official website
