Team	Stadium	Capacity	Highest	Lowest	Average
Raith Rovers	Stark's Park	10,104	4,812	1,294	2,106
Ayr United	Somerset Park	11,998	2,363	1,057	1,477
East Fife	Bayview Stadium	2,000	1,980	533	864
Queen's Park	Hampden Park	52,500	1,763	466	730
Stirling Albion	Forthbank Stadium	3,808	1,125	404	642
Arbroath	Gayfield Park	4,125	921	411	638
Alloa Athletic	Recreation Park	3,100	1,057	331	637
Peterhead	Balmoor	4,000	837	400	615
Brechin City	Glebe Park	3,960	780	315	552
Stranraer	Stair Park	5,600	891	124	303
