Stage	Time (EEST)	Name	Length	Winner	Rally leader
SS1	19:00	SSS Hippodrome 1	3.20km	M. Hirvonen	M. Hirvonen
SS2	09:13	Schimatari 1	11.56km	M. Grönholm	M. Grönholm
SS3	10:01	Thiva 1	23.76km	C. Atkinson	C. Atkinson
SS4	11:17	Agia Sotira 1	15.19km	C. Atkinson	C. Atkinson
SS5	12:40	Olympic Properties 1	5.15km	P. Solberg	C. Atkinson
SS6	14:55	Schimatari 2	11.56km	M. Grönholm	C. Atkinson
SS7	15:43	Thiva 2	23.76km	D. Sordo	M. Grönholm
SS8	16:59	Agia Sotira 2	15.19km	S.Loeb	M. Grönholm
SS9	18:00	Imittos 1	11.43km	CANCELLED	M. Grönholm
SS10	09:03	Agii Theodori 1	48.88km	M. Grönholm	M. Grönholm
SS11	10:36	Loutraki 1	9.18km	S.Loeb	M. Grönholm
SS12	11:41	Agia Triada 1	10.80km	P. Solberg	M. Grönholm
SS13	12:54	Olympic Properties 2	5.15km	P. Solberg	M. Grönholm
SS14	15:19	Agii Theodori 2	48.88km	M. Grönholm	M. Grönholm
SS15	16:52	Loutraki 2	9.18km	S.Loeb	M. Grönholm
SS16	17:57	Agia Triada 2	10.80km	S.Loeb	M. Grönholm
SS17	19:17	SSS Hippodrome 2	3.20km	S.Loeb	M. Grönholm
SS18	07:33	Avlonas 1	20.00	S.Loeb	M. Grönholm
SS19	08:13	Assopia 1	17.87km	M. Grönholm	M. Grönholm
SS20	08:46	Imittos 2	11.43km	CANCELLED	M. Grönholm
SS21	12:05	Avlonas 2	20.00km	M. Hirvonen	M. Grönholm
SS22	12:45	Assopia 2	17.87	J. Latvala	M. Grönholm
SS23	14:30	Hippodrome 2	3.20	D. Sordo	M. Grönholm
