Outcome	Date	Tournament	Surface	Opponent	Score
Winner	26 August 2007	Vlaardingen , The Netherlands	Clay (o)	Anne Schaefer	6-7 (5) 6-2 6-2
Winner	10 September 2007	Alphen A/D Rijn , The Netherlands	Clay (o)	Renee Reinhard	4-6 7-5 7-6 (2)
Runner–up	21 October 2007	San Luis Potosi , Mexico	Hard (o)	Mariana Duque-Marino	6-3 4-6 3-6
Winner	19 April 2008	Bari , Italy	Clay (o)	Alberta Brianti	2-6 7-5 6-3
Runner–up	20 July 2008	Zwevegem , Belgium	Clay (o)	Ksenia Milevskaya	4-6 6-3 6-7 (5)
Winner	23 November 2008	Opole , Poland	Carpet (i)	Ana Vrljic	4-6 7-5 6-3
Winner	8 November 2009	Nantes , France	Hard (i)	Renata Voracova	6-3 6-2
Runner–up	13 February 2011	Stockholm , Sweden	Hard (i)	Kristina Mladenovic	3-6 4-6
Runner–up	15 May 2011	Saint-Gaudens , France	Clay (o)	Anastasia Pivorarova	6-7 (4) 7-6 (3) 2-6
Runner–up	3 July 2011	Cuneo , Italy	Clay (o)	Anna Tatishvili	4-6 3-6
Winner	1 April 2012	Osprey , Florida	Clay (o)	Sesil Karatantcheva	6-4 6-1
Winner	1 September 2013	Fleurus , Belgium	Clay (o)	Diana Marcinkevica	6-3 6-2
Winner	8 September 2013	Alphen A/D Rijn , The Netherlands	Clay (o)	Carina Witthoeft	4-6 6-2 6-2
Winner	6 October 2013	Vallduxo , Spain	Clay (o)	Alize Lim	6-1 6-1
Winner	13 October 2013	Sant Cugat , Spain	Clay (o)	Alberta Brianti	6-4 2-6 6-2
