Nation	Skip	Third	Second	Lead	Alternate	Club
Canada	Shannon Kleibrink	Amy Nixon	Glenys Bakker	Christine Keshen	Sandra Jenkins	Calgary Winter Club , Calgary
Denmark	Dorthe Holm	Denise Dupont	Lene Nielsen	Malene Krause	Maria Poulsen	Hvidovre CC, Hvidovre
Great Britain	Rhona Martin	Jackie Lockhart	Kelly Wood	Lynn Cameron	Deborah Knox	Greenacres CC , Howwood
Italy	Diana Gaspari	Giulia Lacedelli	Rosa Pompanin	Violetta Caldart	Eleonara Alvera	New Wave CC, Cortina d'Ampezzo
Japan	Ayumi Onodera	Yumie Hayashi	Mari Motohashi	Moe Meguro	Sakurako Terada	Aomori CC , Aomori
Norway	Dordi Nordby	Marianne Haslum	Marianne Rørvik	Camilla Holth	Charlotte Hovring	Snarøen CC, Bærum
Russia	Ludmila Privivkova	Nkeiruka Ezekh	Olga Jarkova	Ekaterina Galkina	Yana Nekrasova	Сombined team
Sweden	Anette Norberg	Eva Lund	Cathrine Lindahl	Anna Svärd	Ulrika Bergman	Härnösands CK Härnösand
Switzerland	Mirjam Ott	Binia Beeli	Valeria Spälty	Michèle Moser	Manuela Kormann	Flims CC, Flims
United States	Cassandra Johnson	Jamie Johnson	Jessica Schultz	Maureen Brunt	Courtney George	Bemidji CC , Bemidji
