Team	Copa Libertadores 1996	Supercopa Sudamericana 1996	Copa CONMEBOL 1996	Recopa Sudamericana 1996
Botafogo	Round of 16	Did not qualify	Did not qualify	N/A
Bragantino	Did not qualify	Did not qualify	Quarterfinals	N/A
Corinthians	Quarterfinals	Did not qualify	Did not qualify	N/A
Cruzeiro	Did not qualify	Runner-up	Did not qualify	N/A
Flamengo	Did not qualify	Quarterfinals	Did not qualify	N/A
Fluminense	Did not qualify	Did not qualify	Round of 16	N/A
Grêmio	Semifinals	Round of 16	Did not qualify	Champions
Palmeiras	Did not qualify	Did not qualify	Round of 16	N/A
Santos	Did not qualify	Semifinals	Did not qualify	N/A
São Paulo	Did not qualify	Round of 16	Did not qualify	N/A
Vasco	Did not qualify	Did not qualify	Semifinals	N/A
