Make/ Model	Length	Year	Numbers (Quantity Ordered)	Fuel Propulsion	Year Retired
Flxible 53096 "New Look"	40'	1973	4701-4740 (40 buses)	Diesel	1994
Flxible 53096 "New Look"	40'	1975	4741-4755 (15 buses)	Diesel	1994
AM General Model 9640A	40'	1975	4756-4788 (33 buses)	Diesel	1996
AM General Model 9640A	40'	1975	5101-5115 (15 buses)	Diesel	1996
MAN / AM General SG-220	60'	1979	7001-7020 (20 buses)	Diesel	1998
GMC T8H-203 " RTS -03"	40'	1979	4501-4537 (37 buses)	Diesel	2002
GMC T8J-204 " RTS -04"	40'	1981	4401-4415 (15 buses)	Diesel	2002
GMC T8J-204 " RTS -04"	40'	1981	4301-4315? (15? buses)	Diesel	1999?
GMC T8J-204 " RTS -04"	40'	1982	4538-4557 (20 buses)	Diesel	2002
Flxible / Grumman 40102 "Metro-A"	40'	1983	4801-4867 (67 buses)	Diesel	1998
MAN SG-310	60'	1984	7021-7035 (25 buses)	Diesel	1998
MAN SG-310	60'	1985	7036-7056 (21 buses)	Diesel	2004
Orion Bus Industries 01.502	30'	1987	2701–2710 (10 buses)	Diesel	2002
TMC T80-206 " RTS -06"	40'	1988	4416-4433 (18 buses)	Diesel	2007
TMC T80-206 " RTS -06"	40'	1989	4434-4435 (2 buses)	Diesel	2007
TMC T70-206 " RTS -06"	35'	1989	3501-3515 (15 buses)	Diesel	2007
Orion Bus Industries 02.502	21'	1989	2000 (1 bus)	Diesel	1990s?
TMC T80-206 " RTS -06"	40'	1990	4436-4475 (40 buses)	Diesel	2007
Gillig 35102 " Phantom "	35'	1990	961-967 (7 buses)	Diesel	2004
Orion Bus Industries 02.501	25'	1990	2001–2006 (6 buses)	Diesel	2001
Gillig 40096 " Phantom "	40'	1991	250-263 (14 buses)	Diesel	2006
Orion Bus Industries 02.501	25'	1992	2007–2008 (2 buses)	Diesel	2001
Gillig 40102 " Phantom "	40'	1992	3010 (1 bus)	Diesel	1998
Neoplan USA AN440LF	40'	1993	4001 (1 bus)	Diesel	1998
TMC T80-206 " RTS -06"	40'	1994	6481-6483 (3 buses)	Diesel	2007
ElDorado National Transmark RE-32	35'	1994	2301–2325 (25 buses)	CNG	2005
Orion Bus Industries 02.501	25'	1994	2009–2014 (6 buses)	Diesel	1998
ElDorado National Transmark RE-32	35'	1995	2326–2329 (4 buses)	CNG	2002
ElDorado National Transmark RE-32	35'	1995	2330 (1 bus)	CNG	2002
Blue Bird Corporation CSFE	30'	1996	2501–2506 (6 buses)	Diesel	2002
Gillig 40102 " Phantom "	40'	1996	9108-9110 (3 buses)	Diesel	2006
New Flyer D40LF	40'	1996	3701-3729 (29 buses)	Diesel	2008
Nova Bus RTWFD82	40'	1997	6461-6480 (20 buses)	Diesel	2012
ElDorado National E-Z Rider	30'	1998	4101-4120 (20 buses)	LNG	2011
NABI 40-LFW	40'	1998	6157-6163 (7 buses)	LNG	2012
NABI 40-LFW	40'	1998	6164-6172 (9 buses)	LNG	2013
NABI 40-LFW	40'	1998	6173-6180 (9 buses)	LNG	2013
ElDorado National Aerotech	25'	1999	861-864 (4 buses)	Gasoline	2005
ElDorado National E-Z Rider	30'	1999	4121-4145 (25 buses)	LNG	2011
NABI 40-LFW	40'	1999	6246-6254 (9 buses)	LNG	2012
NABI 40-LFW	40'	1999	6255 (1 bus)	LNG	2012
ElDorado National MST	30'	2000	2401–2406 (6 buses)	CNG	2006
ElDorado National E-Z Rider	30'	2000	4146-4154 (9 buses)	LNG	2011
NABI 35-LFW	35'	2000	6256-6261 (6 buses)	LNG	2012
StarTrans Senator	25'	2001	1318–1324 (7 buses)	Gasoline	2004
ElDorado National E-Z Rider	30'	2001	4155-4163 (9 buses)	LNG	2012
StarTrans Senator	25'	2002	1331 (1 bus)	Gasoline	2007
ElDorado National E-Z Rider II	30'	2002	4173-4175 (3 buses)	LNG	2012
StarTrans Senator	25'	2003	1332–1340 (9 buses)	Gasoline	2007
StarTrans Senator	25'	2004	1341–1347 (7 buses)	Gasoline	2007
StarTrans Senator	25'	2005	1399–1402 (4 buses)	Gasoline	2007
StarTrans Senator SII	25'	2005	Unknown	Gasoline	2007
StarTrans Senator	25'	2006	1406-1407 (2 buses)	Gasoline	2011
ElDorado National Aero Elite	30'	2007	Unknown	Diesel	2010
ElDorado National Aerotech	25'	2007	1421–1460 (40 buses)	Gasoline	2013
