Round	Pick	Name	Position	School
1	17	Kevin Brooks	Defensive End	Michigan
2	44	Jesse Penn	Linebacker	Virginia Tech
3	76	Crawford Ker	Offensive Guard	Florida
4	103	Robert Lavette	Running Back	Georgia Tech
5	114	Herschel Walker	Running Back	Georgia
6	144	Kurt Ploeger	Defensive End	Gustavus Adolphus
6	157	Matt Moran	Offensive Guard	Stanford
7	178	Karl Powe	Wide Receiver	Alabama State
7	184	Jim Herrmann	Defensive End	BYU
8	216	Leon Gonzales	Wide Receiver	Bethune-Cookman
9	243	Scott Strasburger	Linebacker	Nebraska
10	270	Joe Jones	Tight End	Virginia Tech
11	297	Neal Dellocono	Linebacker	UCLA
12	324	Karl Jordan	Linebacker	Vanderbilt
