Date	Opponent	Score	Loss	Attendance	Record
August 1	@ Twins	4 - 3	Timlin (4-4)	38,751	56-47
August 2	@ Devil Rays	6 - 3 (10)	Hendrickson (8-9)	21,835	57-47
August 3	@ Devil Rays	5 - 2	Bell (4-5)	20,882	58-47
August 4	@ Devil Rays	5 - 4	Arroyo (4-8)	18,133	58-48
August 6	@ Tigers	4 - 3	Lowe (9-10)	40,674	58-49
August 7	@ Tigers	7 - 4	Bonderman (6-9)	42,607	59-49
August 8	@ Tigers	11 - 9	Robertson (9-7)	40,098	60-49
August 9	Devil Rays	8 - 3	Schilling (13-6)	35,172	60-50
August 10	Devil Rays	8 - 4	Sosa (3-1)	35,191	61-50
August 11	Devil Rays	14 - 4	Brazelton (4-4)	35,091	62-50
August 12	Devil Rays	6 - 0	Hendrickson (8-11)	34,804	63-50
August 13	White Sox	8 - 7	Wakefield (8-7)	35,028	63-51
August 14	White Sox	4 - 3	Adkins (2-3)	35,012	64-51
August 15	White Sox	5 - 4	Arroyo (5-9)	34,405	64-52
August 16	Blue Jays	8 - 4	Miller (1-2)	35,271	65-52
August 17	Blue Jays	5 - 4 (10)	Frederick (0-2)	35,105	66-52
August 18	Blue Jays	6 - 4	Batista (9-9)	34,867	67-52
August 20	@ White Sox	10 - 1	Buehrle (11-7)	38,720	68-52
August 21	@ White Sox	10 - 7	Stewart (0-1)	37,303	69-52
August 22	@ White Sox	6 - 5	Marte (4-5)	34,355	70-52
August 23	@ Blue Jays	3 - 0	Martínez (13-5)	27,145	70-53
August 24	@ Blue Jays	5 - 4	Batista (9-10)	22,217	71-53
August 25	@ Blue Jays	11 - 5	Towers (9-5)	22,479	72-53
August 26	Tigers	4 - 1	Johnson (8-12)	35,153	73-53
August 27	Tigers	5 - 3	Maroth (10-9)	35,018	74-53
August 28	Tigers	5 - 1	Bonderman (7-11)	35,032	75-53
August 29	Tigers	6 - 1	Ledezma (3-2)	34,268	76-53
August 31	Angels	10 - 7	Lackey (11-11)	35,040	77-53
