Week	Date	Opponent	Result	Attendance
1	September 17, 1961	at San Francisco 49ers	L 35-3	43,142
2	September 24, 1961	at Philadelphia Eagles	L 14-7	50,108
3	October 1, 1961	New York Giants	L 24-21	36,767
4	October 8, 1961	at Cleveland Browns	L 31-7	46,186
5	October 15, 1961	at Pittsburgh Steelers	L 20-0	15,072
6	October 22, 1961	St. Louis Cardinals	L 24-0	28,037
7	October 29, 1961	Philadelphia Eagles	L 27-24	31,066
8	November 5, 1961	at New York Giants	L 53-0	56,077
9	November 12, 1961	Cleveland Browns	L 17-6	28,975
10	November 19, 1961	at Dallas Cowboys	T 28-28	17,500
11	November 26, 1961	Baltimore Colts	L 27-6	41,062
12	December 3, 1961	at St. Louis Cardinals	L 38-24	16,204
13	December 10, 1961	Pittsburgh Steelers	L 30-14	21,134
14	December 17, 1961	Dallas Cowboys	W 34-24	21,451
