Week	Date	Opponent	Result	Attendance
1	September 5, 1993	at New York Jets	W 26–20	68,130
2	September 12, 1993	San Diego Chargers	W 34–17	75,074
3	September 20, 1993	at Kansas City Chiefs	L 15–7	78,453
4	Bye	Bye	Bye	Bye
5	October 3, 1993	Indianapolis Colts	W 35–13	74,953
6	October 10, 1993	at Green Bay Packers	L 30–27	58,943
7	October 18, 1993	Los Angeles Raiders	L 23–20	75,712
8	Bye	Bye	Bye	Bye
9	October 31, 1993	Seattle Seahawks	W 28–17	73,644
10	November 7, 1993	at Cleveland Browns	W 29–14	77,818
11	November 14, 1993	Minnesota Vikings	L 26–23	67,329
12	November 21, 1993	Pittsburgh Steelers	W 37–13	74,840
13	November 28, 1993	at Seattle Seahawks	W 17–9	57,812
14	December 5, 1993	at San Diego Chargers	L 13–10	60,233
15	December 12, 1993	Kansas City Chiefs	W 27–21	75,822
16	December 18, 1993	at Chicago Bears	W 13–3	53,056
17	December 26, 1993	Tampa Bay Buccaneers	L 17–10	73,434
18	January 2, 1994	at Los Angeles Raiders	L 33–30	66,904
