Round	Pick	Player	Nationality	College/Junior/Club Team
1	1	Mario Lemieux ( C )	Canada	Laval Voisins ( QMJHL )
1	9	Doug Bodger (D)	Canada	Kamloops Junior Oilers ( WHL )
1	16	Roger Belanger (C)	Canada	Kingston Canadians ( OHL )
4	64	Mark Teevens (RW)	Canada	Peterborough Petes (OHL)
5	85	Arto Javanainen (RW)	Finland	Ässät (Finland)
7	127	Tom Ryan (D)	United States	Newton North High School (Massachusetts)
9	169	John Del Col (LW)	Canada	Toronto Marlboros (OHL)
10	189	Steve Hurt (RW)	United States	Hill-Murray High School (Minnesota)
11	210	Jim Steen (C)	United States	Moorhead Senior School (Minnesota)
12	230	Mark Ziliotto (LW)	Canada	Streetsville Jr. B (Ontario)
