Award	Organization	Work	Category	Result
Best Feature Film	Macabro Film Festival	The Human Race	Best Feature	Won
Best Feature Film	DragonCon	The Human Race	Best Feature	Won
Grand Prize	Long Island International Film Expo	The Human Race	Best Feature	Won
Jury Award	Utopiales De Nantes	The Human Race	Best Director	Won
Best Short Film	London Sci-Fi Film Festival	The Angel	Best Short	Won
Festival Prize	Long Island International Film Expo	The Angel	Best Short	Won
Jury Award	Long Island International Film Expo	The Angel	Best Short	Won
Best Short Film	Fant-Asia Film Festival	The Angel	Short Film	Won
Jury Award	Newport Beach Film Festival	The Angel	Short Film	Won
10 Degrees Hotter Award	Valley Film Festival	The Angel	Short Film, Jury Award	Won
Best Short	California Film Festival	The Angel	Short Film	Won
Audience Award	Brooklyn International Film Festival	The Backyard	Best Documentary	Won
Festival Prize	Los Angeles Silver Lake Film Festival	The Backyard	Best Picture	Won
Jury Award	Sonoma Valley Film Festival	The Backyard	Best Lounge Film	Won
Director's Choice	Texas Film Festival	The Backyard	Best Film	Won
Critic's Choice	Edinburgh International Film Festival	The Backyard	Best Film	Won
