Date	Opponent	Score	Attendance	Record
April 1	Colorado Rockies	11 - 4	54,820	1-0
April 2	Colorado Rockies	5 - 3	20,210	2-0
April 3	Colorado Rockies	7 - 1	22,660	2-1
April 4	Florida Marlins	9 - 7	25,039	3-1
April 5	Florida Marlins	4 - 3	38,598	3-2
April 6	Florida Marlins	3 - 2	36,146	3-3
April 7	Colorado Rockies	13 - 2	48,014	3-4
April 9	Colorado Rockies	13 - 4	50,095	3-5
April 11	Florida Marlins	10 - 0	21,240	3-6
12 April	Florida Marlins	2 - 1	21,466	4-6
13 April	Florida Marlins	6 - 4	17,687	5-6
14 April	Atlanta Braves	15 - 5	31,427	5-7
15 April	Atlanta Braves	3 - 0	31,962	5-8
16 April	Atlanta Braves	7 - 1	38,411	5-9
17 April	Pittsburgh Pirates	3 - 2	6,039	5-10
18 April	Pittsburgh Pirates	6 - 1	9,082	6-10
19 April	Pittsburgh Pirates	6 - 5	11,457	6-11
20 April	Pittsburgh Pirates	5 - 3	14,542	6-12
22 April	New York Mets	7 - 2	14,585	6-13
23 April	New York Mets	10 - 2	26,492	6-14
25 April	Philadelphia Phillies	10 - 7	22,843	6-15
26 April	Philadelphia Phillies	10 - 2	27,357	7-15
28 April	New York Mets	15 - 2	15,572	7-16
29 April	New York Mets	3 - 1	17,699	7-17
30 April	Atlanta Braves	12 - 3	18,278	7-18
