Model	(in)	(mm)	Caliber	Standard	w. Sleeve	Black	Olive Drab	Bi-Tone	Dark Earth
XD Sub-compact	3	79.5	9×19mm Parabellum	13	16	Yes	Yes	Yes	No
XD Sub-compact	3	79.5	.40 S&W	9	12	Yes	Yes	Yes	No
XD Compact	4	102.5	.45 ACP	10	13	Yes	Yes	Yes	Yes
XD Compact	5	127	.45 ACP	10	13	Yes	Yes	Yes	Yes
XD Service	4	102.5	9×19mm Parabellum	16	N/A	Yes	Yes	Yes	Yes
XD Service	4	102.5	.40 S&W	12	N/A	Yes	Yes	Yes	Yes
XD Service	4	102.5	.357 SIG	12	N/A	Yes	Yes	Yes	Yes
XD Service	4	102.5	.45 GAP	9	N/A	Yes	Yes	Yes	Yes
XD Service	4	102.5	.45 ACP	13	N/A	Yes	Yes	Yes	Yes
XD Ported V-10	4	102.5	9×19mm Parabellum	16	N/A	Yes	Yes	No	No
XD Ported V-10	4	102.5	.40 S&W	12	N/A	Yes	Yes	No	No
XD Ported V-10	4	102.5	.357 SIG	12	N/A	Yes	Yes	No	No
XD Tactical	5	127	9×19mm Parabellum	16	N/A	Yes	Yes	Yes	Yes
XD Tactical	5	127	.40 S&W	12	N/A	Yes	Yes	Yes	Yes
XD Tactical	5	127	.357 SIG	12	N/A	Yes	Yes	Yes	Yes
XD Tactical	5	127	.45 GAP	9	N/A	Yes	Yes	Yes	Yes
XD Tactical	5	127	.45 ACP	13	N/A	Yes	Yes	Yes	Yes
XD-S	3.3	83.8	.45 ACP	5	7	Yes	No	Yes	No
XD-S	3.3	83.8	9x19mm Parabellum	7	9	Yes	No	Yes	No
XDM 3.8 Compact	3.8	96.5	9×19mm Parabellum	13	19	Yes	No	Yes	No
XDM 3.8 Compact	3.8	96.5	.40 S&W	11	16	Yes	No	Yes	No
XDM 3.8 Compact	3.8	96.5	.45 ACP	9	13	Yes	No	Yes	No
XDM 3.8	3.8	96.5	9×19mm Parabellum	19	N/A	Yes	No	Yes	No
XDM 3.8	3.8	96.5	.40 S&W	16	N/A	Yes	No	Yes	No
XDM 4.5	4.5	114.3	9×19mm Parabellum	19	N/A	Yes	Yes	Yes	No
XDM 4.5	4.5	114.3	.40 S&W	16	N/A	Yes	Yes	Yes	No
XDM 4.5	4.5	114.3	.45 ACP	13	N/A	Yes	No	Yes	No
XDM 5.25 Competition	5.25	133.3	9×19mm Parabellum	19	N/A	Yes	No	Yes	No
XDM 5.25 Competition	5.25	133.3	.40 S&W	16	N/A	Yes	No	Yes	No
