Volume:Issue	Issue Date(s)	Weeks on Top	Song	Artist
4:19	3 January	missing	missing	missing
4:20	10 January	1	" Five O'Clock World "	The Vogues
4:21	17 January	1	" No Matter What Shape "	The T-Bones
4:22	24 January	1	" We Can Work It Out "	The Beatles
4:23	31 January	1	" Yesterday Man "	Chris Andrews
4:24	7 February	1	" As Tears Go By "	The Rolling Stones
4:25	14 February	1	" My Love "	Petula Clark
4:26	21 February	1	" Lightnin' Strikes "	Lou Christie
5:1	28 February	1	" Michelle "	David and Jonathan
5:2	7 March	1	" These Boots Are Made for Walking "	Nancy Sinatra
5:3	14 March	1	" At the Scene "	Dave Clark 5
5:4	21 March	1	" Listen People "	Herman's Hermits
5:5	28 March	1	" Nowhere Man "	The Beatles
5:6	4 April	1	" Woman "	Peter & Gordon
5:7	11 April	1	" Magic Town "	The Vogues
5:8	18 April	1	" Daydream "	Lovin' Spoonful
5:9	25 April	1	" Good Lovin' "	Young Rascals
5:10	2 May	1	" Kicks "	Paul Revere & the Raiders
5:11	9 May	1	" Good Lovin' "	Young Rascals (returned to #1)
5:12-14	16 May - 30 May	3	" Monday, Monday "	The Mamas & the Papas
5:15	6 June	1	" When a Man Loves a Woman "	Percy Sledge
5:16	13 June	1	" Paint It, Black "	Rolling Stones
5:17	20 June	1	" Green Grass "	Gary Lewis
5:18	27 June	1	" Sweet Talking Guy "	Chiffons
5:19	4 July	1	" Paperback Writer "	The Beatles
5:20	11 July	1	" Red Rubber Ball "	The Cyrkle
5:21	18 July	1	" The Pied Piper "	Crispian St. Peters
5:22	25 July	1	" Hanky Panky "	Tommy James and the Shondells
5:23	1 August	1	" Sweet Pea "	Tommy Roe
5:24	8 August	1	" I Saw Her Again "	The Mamas & the Papas
5:25-26	15 August - 22 August	2	" Summer in the City "	Lovin' Spoonful
6:1	29 August	1	" See You in September "	The Happenings
6:2	5 September	1	" Bus Stop "	The Hollies
6:3	12 September	1	" Get Away "	Georgie Fame
6:4	19 September	1	" Yellow Submarine "/" Eleanor Rigby "	The Beatles
6:5	26 September	1	" Sunny Afternoon "	The Kinks
6:6	3 October	1	" Cherish "	The Association
6:7	10 October	1	" Black Is Black "	Los Bravos
6:8-9	17 October - 24 October	2	" See See Rider "	Eric Burdon and The Animals
6:10	31 October	1	" 96 Tears "	Question Mark & the Mysterians
6:11	7 November	1	" Last Train to Clarksville "	The Monkees
6:12	14 November	1	" Dandy "	Herman's Hermits
6:13	21 November	1	" Poor Side of Town "	Johnny Rivers
6:14-15	28 November - 5 December	2	" Winchester Cathedral "	New Vaudeville Band
6:16	12 December	1	" Lady Godiva "	Peter & Gordon
6:17	19 December	1	" Stop! Stop! Stop! "	The Hollies
6:18-19	26 December - 2 January	2	" I'm a Believer "	The Monkees
