Year	First member	First party	Second member	Second party
1790	Peniston Portlock Powney	Tory	The Earl of Mornington	Non Partisan
1794	William Grant	Tory	The Earl of Mornington	Non Partisan
1796	Henry Isherwood	Tory	Hon. Robert Fulke Greville	Tory
1797	Sir William Johnston, Bt	Tory	Hon. Robert Fulke Greville	Tory
1802	John Williams	Tory	Hon. Robert Fulke Greville	Tory
1804	Arthur Vansittart	Tory	Hon. Robert Fulke Greville	Tory
1806	Edward Disbrowe	Tory	Richard Ramsbottom	Tory
1810	Edward Disbrowe	Tory	John Ramsbottom, junior later John Ramsbottom	Non Partisan
1812	Edward Disbrowe	Tory	John Ramsbottom, junior later John Ramsbottom	Whig
1819	The Lord Graves	Tory	John Ramsbottom, junior later John Ramsbottom	Whig
1820	Sir Herbert Taylor	Tory	John Ramsbottom, junior later John Ramsbottom	Whig
1823	Edward Cromwell Disbrowe	Non Partisan	John Ramsbottom, junior later John Ramsbottom	Whig
1826	Sir Richard Hussey Vivian	Non Partisan	John Ramsbottom, junior later John Ramsbottom	Whig
1830	Sir Richard Hussey Vivian	Whig	John Ramsbottom, junior later John Ramsbottom	Whig
1831	Rt Hon. Edward Stanley	Whig	John Ramsbottom, junior later John Ramsbottom	Whig
1832	Sir Samuel John Brooke Pechell, Bt	Whig	John Ramsbottom, junior later John Ramsbottom	Whig
1835	Sir John Edmund de Beauvoir	Radical	John Ramsbottom, junior later John Ramsbottom	Whig
1835	Sir John Elley	Conservative	John Ramsbottom, junior later John Ramsbottom	Whig
1837	Robert Gordon	Whig	John Ramsbottom, junior later John Ramsbottom	Whig
1841	Ralph Neville	Conservative	John Ramsbottom, junior later John Ramsbottom	Whig
1845	Ralph Neville	Conservative	George Alexander Reid	Conservative
1847	Lord John Hay	Whig	George Alexander Reid	Conservative
1850	John Hatchell	Whig	George Alexander Reid	Conservative
1852	John Hatchell	Whig	Charles William Grenfell	Whig
1852	Lord Charles Wellesley	Conservative	Charles William Grenfell	Whig
1855	Samson Ricardo	Whig	Charles William Grenfell	Whig
1857	William Vansittart	Conservative	Charles William Grenfell	Whig
1859	William Vansittart	Conservative	George William Hope	Conservative
1863	William Vansittart	Conservative	Richard Vyse	Conservative
1865	Sir Henry Ainslie Hoare, Bt	Liberal	Henry Du Pré Labouchere	Liberal
1866	Charles Edwards	Liberal	Roger Eykyn	Liberal
