Date	Venue	Score [A ]	Competition	Att.
17 November 1995	Solomon Islands (H)	0 – 1	1996 OFC Nations Cup	—
11 May 1996	Tahiti (A)	1 – 2	1996 OFC Nations Cup	—
16 September 1996	Papua New Guinea (A)	1 – 1	1998 FIFA World Cup qualification	—
18 September 1996	Papua New Guinea (N)	1 – 1	1998 FIFA World Cup qualification	—
15 February 1997	Tonga (A)	4 – 0	1998 FIFA World Cup qualification	—
17 February 1997	Fiji (A)	2 – 1	Friendly	—
21 February 1997	Fiji (A)	2 – 3	Friendly	—
1 March 1997	Solomon Islands (H)	9 – 0	1998 FIFA World Cup qualification	—
11 June 1997	Australia (N)	0 – 13	1998 FIFA World Cup qualification	—
15 June 1997	Australia (N)	4 – 1	1998 FIFA World Cup qualification	—
17 June 1997	Australia (A)	2 – 6	1998 FIFA World Cup qualification	—
21 June 1997	Australia (N)	1 – 1	1998 FIFA World Cup qualification	—
5 September 1998	Vanuatu (N)	3 – 1	Melanesia Cup 1998	—
8 September 1998	Vanuatu (N)	3 – 2	Melanesia Cup 1998	—
10 September 1998	Vanuatu (A)	1 – 3	Melanesia Cup 1998	—
12 September 1998	Vanuatu (N)	1 – 1	Melanesia Cup 1998	—
19 September 1998	Solomon Islands (H)	2 – 1	Friendly	—
