Place	Player	Country	Score	To par	Money ( $ )
T1	Larry Mize	United States	70-72-72-71=285	–3	Playoff
T1	Seve Ballesteros	Spain	73-71-70-71=285	–3	Playoff
T1	Greg Norman	Australia	73-74-66-72=285	–3	Playoff
T4	Ben Crenshaw	United States	75-70-67-74=286	–2	37,200
T4	Roger Maltbie	United States	76-66-70-74=286	–2	37,200
T4	Jodie Mudd	United States	74-72-71-69=286	–2	37,200
T7	Jay Haas	United States	72-72-72-73=289	+1	26,200
T7	Bernhard Langer	West Germany	71-72-70-76=289	+1	26,200
T7	Jack Nicklaus	United States	74-72-73-70=289	+1	26,200
T7	Tom Watson	United States	71-72-74-72=289	+1	26,200
T7	D. A. Weibring	United States	72-75-71-71=289	+1	26,200
