Barangay	District	Population (May 1, 2000)	Population (August 1, 2007)	Population (May 1, 2010)
Agdeppa	Ag-Na	976	1110	1,148
Alzate	ABCQM	890	1034	1,198
Bangaoilan East	GenPriBa	953	997	1,049
Bangaoilan West	GenPriBa	825	890	865
Barraca	ABCQM	1168	1158	1,154
Cadapli	CadaLuSan	1296	1423	1,361
Caggao	ABCQM	103	141	170
Consuegra	TerConMaCris	1192	1243	1,334
General Prim East	GenPriBa	835	849	834
General Prim West	GenPriBa	1300	1466	1,491
General Terrero	TerConMaCris	729	867	939
Luzong Norte	CadaLuSan	1136	1208	1,276
Luzong Sur	CadaLuSan	906	856	901
Maria Cristina East	TerConMaCris	897	847	869
Maria Cristina West	TerConMaCris	1064	1081	1,013
Mindoro	ABCQM	1486	1451	1,570
Nagsabaran	Ag-Na	1096	1232	1,335
Paratong Norte	Paratong	1256	1388	1,508
Paratong No. 3	Paratong	913	949	1 019
Paratong No. 4	Paratong	722	750	777
Central East No. 1 ( Poblacion )	Centro	435	503	478
Central East No. 2 (Poblacion)	Centro	1088	994	1,087
Central West No. 1 (Poblacion)	Centro	480	527	514
Central West No. 2 (Poblacion)	Centro	639	657	586
Central West No. 3 (Poblacion)	Centro	612	633	612
Quintarong	ABCQM	1074	1014	1,086
Reyna Regente	RUS	875	904	1,028
Rissing	SinapRis	1959	2308	2,279
San Blas	RUS	1080	1242	1,230
San Cristobal	CadaLuSan	725	735	743
Sinapangan Norte	SinapRis	930	976	1,000
Sinapangan Sur	SinapRis	776	778	758
