Tie no	Home team	Score	Away team	Date
1	Watford	2–0	Plymouth Argyle	8 January 1983
2	Walsall	0–0	Birmingham City	8 January 1983
Replay	Birmingham City	1–0	Walsall	11 January 1983
3	Leicester City	2–3	Notts County	8 January 1983
4	Blackburn Rovers	1–2	Liverpool	8 January 1983
5	Middlesbrough	2–2	Bishop's Stortford	8 January 1983
Replay	Bishop's Stortford	1–2	Middlesbrough	11 January 1983
6	West Bromwich Albion	3–2	Queens Park Rangers	8 January 1983
7	Sunderland	0–0	Manchester City	8 January 1983
Replay	Manchester City	2–1	Sunderland	12 January 1983
8	Derby County	2–0	Nottingham Forest	8 January 1983
9	Luton Town	3–0	Peterborough United	8 January 1983
10	Swindon Town	7–0	Aldershot	8 January 1983
11	Shrewsbury Town	2–1	Rotherham United	8 January 1983
12	Sheffield United	0–0	Stoke City	8 January 1983
Replay	Stoke City	3–2	Sheffield United	12 January 1983
13	Tranmere Rovers	0–1	Wolverhampton Wanderers	8 January 1983
14	Tottenham Hotspur	1–0	Southampton	8 January 1983
15	Northampton Town	0–1	Aston Villa	8 January 1983
16	Coventry City	3–1	Worcester City	8 January 1983
17	Brighton & Hove Albion	1–1	Newcastle United	8 January 1983
Replay	Newcastle United	0–1	Brighton & Hove Albion	12 January 1983
18	Manchester United	2–0	West Ham United	8 January 1983
19	Norwich City	2–1	Swansea City	8 January 1983
20	Bradford City	0–1	Barnsley	8 January 1983
21	Carlisle United	2–2	Burnley	8 January 1983
Replay	Burnley	3–1	Carlisle United	11 January 1983
22	Oldham Athletic	0–2	Fulham	8 January 1983
23	Crystal Palace	2–1	York City	8 January 1983
24	Southend United	0–0	Sheffield Wednesday	8 January 1983
Replay	Sheffield Wednesday	2–2	Southend United	11 January 1983
Replay	Sheffield Wednesday	2–1	Southend United	24 January 1983
25	Scunthorpe United	0–0	Grimsby Town	8 January 1983
Replay	Grimsby Town	2–0	Scunthorpe United	11 January 1983
26	Huddersfield Town	1–1	Chelsea	8 January 1983
Replay	Chelsea	2–0	Huddersfield Town	12 January 1983
27	Newport County	1–1	Everton	8 January 1983
Replay	Everton	2–1	Newport County	11 January 1983
28	Charlton Athletic	2–3	Ipswich Town	8 January 1983
29	Arsenal	2–1	Bolton Wanderers	8 January 1983
30	Leeds United	3–0	Preston North End	8 January 1983
31	Cambridge United	1–0	Weymouth	8 January 1983
32	Oxford United	1–1	Torquay United	8 January 1983
Replay	Torquay United	2–1	Oxford United	12 January 1983
