Team	Copa Libertadores 1998	Copa Mercosur 1998	Copa CONMEBOL 1998	Copa Interamericana 1998	Recopa Sudamericana 1998	Intercontinental Cup 1998
América-RN	Did not qualify	Did not qualify	Round of 16	N/A	N/A	N/A
Atlético Mineiro	Did not qualify	Did not qualify	Semifinals	N/A	N/A	N/A
Corinthians	Did not qualify	Group stage	Did not qualify	N/A	N/A	N/A
Cruzeiro	Round of 16	Runner-up	Did not qualify	N/A	Champions	N/A
Flamengo	Did not qualify	Group stage	Did not qualify	N/A	N/A	N/A
Grêmio	Quarterfinals	Group stage	Did not qualify	N/A	N/A	N/A
Palmeiras	Did not qualify	Champions	Did not qualify	N/A	N/A	N/A
Sampaio Corrêa	Did not qualify	Did not qualify	Semifinals	N/A	N/A	N/A
Santos	Did not qualify	Did not qualify	Champions	N/A	N/A	N/A
São Paulo	Did not qualify	Group stage	Did not qualify	N/A	N/A	N/A
Vasco	Champions	Group stage	Did not qualify	Runner-up	N/A	Runner-up
