Driver	Constructor	Laps	Time/Retired	Grid
Lewis Hamilton	McLaren - Mercedes	60	1:39:09.440	4
Nick Heidfeld	BMW Sauber	60	+1:08.577	5
Rubens Barrichello	Honda	60	+1:22.273	16
Kimi Räikkönen	Ferrari	59	+1 Lap	3
Heikki Kovalainen	McLaren - Mercedes	59	+1 Lap	1
Fernando Alonso	Renault	59	+1 Lap	6
Jarno Trulli	Toyota	59	+1 Lap	14
Kazuki Nakajima	Williams - Toyota	59	+1 Lap	15
Nico Rosberg	Williams - Toyota	59	+1 Lap	20
Mark Webber	Red Bull - Renault	59	+1 Lap	2
Sébastien Bourdais	Toro Rosso - Ferrari	59	+1 Lap	13
Timo Glock	Toyota	59	+1 Lap	12
Felipe Massa	Ferrari	58	+2 Laps	9
Robert Kubica	BMW Sauber	39	Spun off	10
Jenson Button	Honda	38	Spun off	17
Nelson Piquet Jr.	Renault	35	Spun off	7
Giancarlo Fisichella	Force India - Ferrari	26	Spun off	19
Adrian Sutil	Force India - Ferrari	10	Spun off	18
Sebastian Vettel	Toro Rosso - Ferrari	0	Collision	8
David Coulthard	Red Bull - Renault	0	Collision	11
Source:	Source:	Source:	Source:	Source:
