Title	Pages	First edition	Second edition	ISBN
Hardcovers	Hardcovers	Hardcovers	Hardcovers	Hardcovers
The Fantastic Four: Vol. 1	256	November 1987	June 2003	978-0785111818
The Fantastic Four: Vol. 2	295	October 1988	July 2003	978-0785109808
The Fantastic Four: Vol. 3	234	September 1990	September 2003	978-0871356291
The Silver Surfer: Vol. 1	260	June 1991	June 2003	978-0785131137
The Fantastic Four: Vol. 4	264	November 1992	November 2003	978-0785111832
The Fantastic Four: Vol. 5	240	October 1993	January 2004	978-0785111849
The Fantastic Four: Vol. 6	240	October 2000	March 2004	978-0785112662
The Fantastic Four: Vol. 7	304	August 2004	N/A	978-0785115847
The Fantastic Four: Vol. 8	272	March 2005	N/A	978-0785116943
The Fantastic Four: Vol. 9	272	November 2005	N/A	978-0785118466
The Fantastic Four: Vol. 10	272	May 2006	N/A	978-0785120612
The Fantastic Four: Vol. 11	272	September 2008	N/A	978-0785130468
The Fantastic Four: Vol. 12	272	February 2010	N/A	978-0785142188
The Fantastic Four: Vol. 13	288	November 9, 2011	N/A	978-0-7851-5040-4
The Fantastic Four: Vol. 14	272	November 14, 2012	N/A	978-0-7851-5963-6
The Fantastic Four: Vol. 15	312	August 21, 2013	N/A	978-0785166252
Trade paperbacks	Trade paperbacks	Trade paperbacks	Trade paperbacks	Trade paperbacks
The Fantastic Four: Vol. 1	256	March 2009	N/A	978-0785137108
The Fantastic Four: Vol. 2	295	July 2009	N/A	978-0785137122
The Fantastic Four: Vol. 3	234	February 2010	N/A	978-0785142966
The Fantastic Four: Vol. 4	264	October 2010	N/A	978-0785145660
The Fantastic Four: Vol. 5	240	February 2011	N/A	978-0785150589
The Fantastic Four: Vol. 6	240	May 2011	N/A	978-0785150602
The Fantastic Four: Vol. 7	304	November 2011	N/A	978-0785150626
The Fantastic Four: Vol. 8	272	August 2012	N/A	978-0785162940
The Fantastic Four: Vol. 9	272	June 2013	N/A	978-0785167600
