Season	Winner	Score	Runner-up	Venue
1985–86	Daewoo Royals	3 – 1	Al-Ahli SC	Jeddah
1986	Furukawa Electric	1	Al-Hilal FC	Riyadh
1987	Yomiuri FC	w/o 2	Al-Hilal FC	Two-leg finals
1988–89	Al-Sadd SC	3 – 3 (aggregate, away goals win)	Al-Rasheed SC	Two-leg finals
1989–90	Liaoning FC	3 – 2 (aggregate)	Nissan FC	Two-leg finals
1990–91	Esteghlal FC	2 – 1	Liaoning FC	Bangabandhu National Stadium , Dhaka
1991	Al-Hilal FC	1 – 1 (4–3 PSO )	Esteghlal FC	Doha
1992–93	PAS Tehran FC	1 – 0	Al-Shabab Club	Bahrain
1993–94	Thai Farmers Bank FC	2 – 1	Oman Club	Bangkok
1994–95	Thai Farmers Bank FC	1 – 0	Al-Arabi SC	Bangkok
1995	Ilhwa Chunma	1 – 0	Al-Nassr FC	King Fahd Stadium , Riyadh
1996–97	Pohang Steelers	2 – 1	Cheonan Ilhwa Chunma	Kuala Lumpur
1997–98	Pohang Steelers	0 – 0 (6–5 PSO )	Dalian Wanda	Hong Kong Stadium , Hong Kong
1998–99	Júbilo Iwata	2 – 1	Esteghlal FC	Azadi Stadium , Tehran
1999–00	Al-Hilal FC	3 – 2	Júbilo Iwata	King Fahd Stadium , Riyadh
2000–01	Suwon Samsung Bluewings	1 – 0	Júbilo Iwata	Suwon World Cup Stadium , Suwon
2001–02	Suwon Samsung Bluewings	0 – 0 (4–2 PSO )	Anyang LG Cheetahs	Azadi Stadium , Tehran
