Pick #	MLS team	Player	Position	Affiliation
1	D.C. United	* Alecko Eskandarian	F	University of Virginia
2	MetroStars	* Ricardo Clark	M	Furman University
3	Chicago Fire	* Nate Jaqua	F	University of Portland
4	MetroStars	* Mike Magee	F	Nike Project-40
5	D.C. United	* David Stokes	D	University of North Carolina
6	San Jose Earthquakes	Todd Dunivant	D	Stanford University
7	Columbus Crew	Diego Walsh	M	Southern Methodist University
8	Los Angeles Galaxy	* Guillermo Gonzalez	M	Nike Project-40
9	New England Revolution	Pat Noonan	F	Indiana University
10	Dallas Burn	Shavar Thomas	D	University of Connecticut
