Date	Round	Circuit	Pole Position	Fastest Lap	Race Winner	Report
23 February	Qatar	Losail	Fabien Foret	Fabien Foret	Broc Parkes	Report
2 March	Australia	Phillip Island	Andrew Pitt	Robbin Harms	Andrew Pitt	Report
6 April	Spain	Valencia	Andrew Pitt	Broc Parkes	Joan Lascorz	Report
27 April	Netherlands	Assen	Broc Parkes	Gianluca Vizziello	Andrew Pitt	Report
11 May	Italy	Monza	Broc Parkes	Fabien Foret	Fabien Foret	Report
15 June	Germany	Nürburgring	Broc Parkes	Broc Parkes	Andrew Pitt	Report
29 June	San Marino	Misano	Broc Parkes	Broc Parkes	Andrew Pitt	Report
20 July	Czech Republic	Brno	Broc Parkes	Andrew Pitt	Jonathan Rea	Report
3 August	Great Britain	Brands Hatch	Matthieu Lagrive	Andrew Pitt	Jonathan Rea	Report
7 September	Europe	Donington Park	Matthieu Lagrive	Josh Brookes	Josh Brookes	Report
21 September	Italy	Vallelunga	Broc Parkes	Broc Parkes	Jonathan Rea	Report
5 October	France	Magny-Cours	Broc Parkes	Broc Parkes	Andrew Pitt	Report
2 November	Portugal	Portimao	Kenan Sofuoğlu	Kenan Sofuoğlu	Kenan Sofuoğlu	Report
