Year	Entrant	Class	Chassis	Engine	Rank	Points
1999	Champion Racing	LMP	Porsche 911 GT1 Evo	Porsche 3.2L Turbo Flat-6	25th	47
2000	Audi Sport North America	LMP	Audi R8	Audi 3.6L Turbo V8	1st	270
2000	Audi Sport North America	LMP	Audi R8R	Audi 3.6L Turbo V8	1st	270
2004	Audi Sport UK Team Veloqx	LMP1	Audi R8	Audi 3.6L Turbo V8	7th	26
2005	ADT Champion Racing	LMP1	Audi R8	Audi 3.6L Turbo V8	10th	22
2006	Audi Sport North America	LMP1	Audi R10 TDI	Audi 5.5L Turbo V12 ( Diesel )	1st	204
2006	Audi Sport North America	LMP1	Audi R8	Audi 3.6L Turbo V8	1st	204
2007	Audi Sport North America	LMP1	Audi R10 TDI	Audi 5.5L Turbo V12 ( Diesel )	1st	246
2008	Audi Sport North America	LMP1	Audi R10 TDI	Audi 5.5L Turbo V12 ( Diesel )	8th	60
2009	Audi Sport Team Joest	LMP1	Audi R15 TDI	Audi 5.5L Turbo V10 ( Diesel )	10th	30
2010	Audi Sport Team Joest	LMP1	Audi R15 TDI plus	Audi 5.5L Turbo V10 ( Diesel )	NC	–
2011	Audi Sport Team Joest	LMP1	Audi R15 TDI plus	Audi 5.5L Turbo V10 ( Diesel )	NC	–
2011	Audi Sport Team Joest	LMP1	Audi R18 TDI	Audi 3.7L Turbo V6 ( Diesel )	NC	–
